CandidateName,AGE_YR,Gender,DistrictName,ConstName,PoliticalPartyName,SymbolName
क्षितिज थेबे,38,पुरुष,ताप्लेजुङ,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
गजेन्द्र प्रसाद तुम्याङ लिम्बु,46,पुरुष,ताप्लेजुङ,1,नेपाली काँग्रेस,रुख
खेल प्रसाद बुडाक्षेत्री,50,पुरुष,ताप्लेजुङ,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
बिरेन्द्र श्रेष्ठ,55,पुरुष,ताप्लेजुङ,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
ईन्द्र प्रसाद थापा,63,पुरुष,ताप्लेजुङ,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
सूर्य गुरुङ,66,पुरुष,ताप्लेजुङ,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता
सन्त बहादुर लिम्बु,57,पुरुष,ताप्लेजुङ,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
इन्द्र कुमार लिम्बू,48,पुरुष,ताप्लेजुङ,1,नेपाल जनमुक्ति पार्टी,घर
"मुकसाम लाबुङ, लिम्बु",44,पुरुष,ताप्लेजुङ,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी
सन्तोष राई,49,पुरुष,ताप्लेजुङ,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
नरपती पौडेल,61,पुरुष,ताप्लेजुङ,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल
किर्ती मान मादेन,65,पुरुष,ताप्लेजुङ,1,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम
अरुन सुब्बा (लेछर्वो),48,पुरुष,ताप्लेजुङ,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो)
अइन्द्र सुन्दर नेम्वाङ,48,पुरुष,पाँचथर,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
नरेन्द्र कुमार केरुङ,53,पुरुष,पाँचथर,1,नेपाली काँग्रेस,रुख
हर्क बहादुर नेम्बाङ,45,पुरुष,पाँचथर,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
महेन्द्र विक्रम थाम्सुहाङ,57,पुरुष,पाँचथर,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
तेज कुमार कुरुम्वाङ्ग,62,पुरुष,पाँचथर,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
मचिन्द्र प्रसाद बेघा,69,पुरुष,पाँचथर,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता
लक्षुमान तामाङ,40,पुरुष,पाँचथर,1,नेपाल मजदुर किसान पार्टी,मादल
प्रकाश काफ्ले,38,पुरुष,पाँचथर,1,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा
राम कुमार तुम्रोक,47,पुरुष,पाँचथर,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
नरेन्द्र प्रसाद कुरुम्‍वाङ,68,पुरुष,पाँचथर,1,नेपाल जनमुक्ति पार्टी,घर
टेकबहादुर सुब्बा,42,पुरुष,पाँचथर,1,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी
भानु भक्त फियाक,50,पुरुष,पाँचथर,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी
हस्त राज शेर्मा,40,पुरुष,पाँचथर,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
विजय नेम्वाङ,43,पुरुष,पाँचथर,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल
मित्र लिङदेन,52,पुरुष,पाँचथर,1,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो)
काजी मान कागते,64,पुरुष,इलाम,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
निश्कल राई,35,पुरुष,इलाम,1,नेपाली काँग्रेस,रुख
रन बहादुर राई,54,पुरुष,इलाम,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
विमल गदाल,54,पुरुष,इलाम,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
ज्वाला  नेपाल ,35,महिला,इलाम,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
तुल्सी केशरी प्रजापति (छुंजु),51,महिला,इलाम,1,नेपाल मजदुर किसान पार्टी,मादल
बुद्ध लाल मेचे,55,पुरुष,इलाम,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
डम्बर सिंह लिम्बु,68,पुरुष,इलाम,1,नेपाल जनमुक्ति पार्टी,घर
राम प्रसाद लिम्बू,63,पुरुष,इलाम,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी
विनोद नेम्बाङ्ग लिम्बु,37,पुरुष,इलाम,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
नारदमणी साङपाङ्ग,64,पुरुष,इलाम,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल
हरि बहादुर गुरुङ,45,पुरुष,इलाम,1,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम
लिला बहादुर सुनुवार,58,पुरुष,इलाम,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो)
सुहाङ नेम्बाङ,36,पुरुष,इलाम,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
भेषराज आचार्य,61,पुरुष,इलाम,2,नेपाली काँग्रेस,रुख
ओम बहादुर गुरुङ्ग,47,पुरुष,इलाम,2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
गोकुल बहादुर राई,32,पुरुष,इलाम,2,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
गणेश प्रसाद दुलाल,64,पुरुष,इलाम,2,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
श्याम बहादुर लिम्वु,39,पुरुष,इलाम,2,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
याम वहादुर लिम्बु,49,पुरुष,इलाम,2,नेपाल जनमुक्ति पार्टी,घर
दिवस राई,37,पुरुष,इलाम,2,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी
सादर सिं लिङदेन (लिम्बु),49,पुरुष,इलाम,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी
सुदिप राई,37,पुरुष,इलाम,2,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
होम प्रसाद खतिवडा,68,पुरुष,इलाम,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल
पवित्रा लिम्बु तुम्वाङफे,51,महिला,इलाम,2,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको
बल बहादुर आङदेम्बे,64,पुरुष,इलाम,2,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो)
डाक प्रसाद गौतम,58,पुरुष,इलाम,2,स्वतन्त्र,मुढा
रामचन्द्र उप्रेती,67,पुरुष,झापा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
केशव राज पाण्डे,54,पुरुष,झापा,1,नेपाली काँग्रेस,रुख
अशेष घिमिरे,40,पुरुष,झापा,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
निशा डाँगी,29,महिला,झापा,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
हेमराज कार्की,60,पुरुष,झापा,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
रमा मेचे,57,महिला,झापा,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता
हिरण्य प्रसाद भट्टराई,83,पुरुष,झापा,1,नेपाल मजदुर किसान पार्टी,मादल
सन्तोष तामाङ्ग,42,पुरुष,झापा,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
ओलीन राजवंशी,60,पुरुष,झापा,1,नेपाल सद्भावना पार्टी,पञ्जा छाप
खान्द्रु करुवा,61,पुरुष,झापा,1,नेपाल जनमुक्ति पार्टी,घर
मान बहादुर साँवा(लिम्बु),53,पुरुष,झापा,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी
केवलराम राई,48,पुरुष,झापा,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
नरेश कुमार लावती,46,पुरुष,झापा,1,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम
गणेश कुमार खरेल,48,पुरुष,झापा,1,स्वतन्त्र,क्यामरा
दुर्गा प्रसाद साँवा लिम्वु,40,पुरुष,झापा,1,स्वतन्त्र,क्याप
देव राज घिमिरे,69,पुरुष,झापा,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
सरिता प्रसाई,58,महिला,झापा,2,नेपाली काँग्रेस,रुख
धर्माशिला चापागाई,53,महिला,झापा,2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
इन्दिरा राना मगर,55,महिला,झापा,2,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
भद्र प्रसाद नेपाल,50,पुरुष,झापा,2,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
रमेश कुमार राजवंशी,41,पुरुष,झापा,2,जनमत पार्टी,लाउड स्पिकर
चन्द्र कुमारी गारु,50,महिला,झापा,2,नेपाल मजदुर किसान पार्टी,मादल
अकल बहादुर तामाङ्ग,55,पुरुष,झापा,2,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
मान बहादुर पुलामी मगर,75,पुरुष,झापा,2,नेपाल जनमुक्ति पार्टी,घर
श्रीप्रसाद सिटौला,48,पुरुष,झापा,2,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया
अमृता लावती,53,महिला,झापा,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी
केशव कुमार भण्डारी,40,पुरुष,झापा,2,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
अर्जुन कुमार पाण्डे,56,पुरुष,झापा,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल
चुडा कर्ण बेघा,50,पुरुष,झापा,2,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम
तिल बहादुर राई,38,पुरुष,झापा,2,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो)
पुण्य  प्रसाद अार्चाय,56,पुरुष,झापा,2,स्वतन्त्र,सारङ्‌गी
युवराज संग्रौला,66,पुरुष,झापा,2,स्वतन्त्र,पंखा
रमेश कुमार कार्की,56,पुरुष,झापा,2,स्वतन्त्र,भँगेरा
हरी बहादुर राजवंशी,66,पुरुष,झापा,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
राजेन्द्र कुमार घिमिरे,64,पुरुष,झापा,3,नेपाली काँग्रेस,रुख
डिल्लीराम घिमिरे,45,पुरुष,झापा,3,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
प्रकाश पाठक,37,पुरुष,झापा,3,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
राजेन्द्र प्रसाद लिङ्देन,60,पुरुष,झापा,3,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
कर्ण लाल राजवंशि,39,पुरुष,झापा,3,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता
हरसलाल राजवंशी,71,पुरुष,झापा,3,जनमत पार्टी,लाउड स्पिकर
धर्म लक्ष्मी दुवाल (लघु),57,महिला,झापा,3,नेपाल मजदुर किसान पार्टी,मादल
याम कुमार श्रेष्ठ,43,पुरुष,झापा,3,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
चन्द्रकला सावा,44,महिला,झापा,3,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी
जयेन मगर,38,पुरुष,झापा,3,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी
दिपक तिम्सिना,48,पुरुष,झापा,3,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
सन्तोष कटुवाल,39,पुरुष,झापा,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल
श्यामकृष्ण पाठक,50,पुरुष,झापा,3,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम
विनिता कुमारी राजवंशी,45,महिला,झापा,3,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो)
अभय राजवंशी,44,पुरुष,झापा,3,स्वतन्त्र,आँप
मानप्रकाश संग्रौला,44,पुरुष,झापा,3,स्वतन्त्र,सारङ्‌गी
लाल प्रसाद साँवा लिम्बू,58,पुरुष,झापा,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
देउ कुमार थेवे,63,पुरुष,झापा,4,नेपाली काँग्रेस,रुख
