Name,District,No,Party,Symbol,KeywordList
क्षितिज थेबे,ताप्लेजुङ,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""क्षितिज थेबे""|""क्षितिज"" ताप्लेजुङ|""क्षितिज"" 1|ताप्लेजुङ 1 चुनाव|#क्षितिज|""क्षितिज थेबे"" ताप्लेजुङ"
गजेन्द्र प्रसाद तुम्याङ लिम्बु,ताप्लेजुङ,1,नेपाली काँग्रेस,रुख,"""गजेन्द्र प्रसाद तुम्याङ लिम्बु""|""गजेन्द्र"" ताप्लेजुङ|""गजेन्द्र"" 1|ताप्लेजुङ 1 चुनाव|#गजेन्द्र|""गजेन्द्र प्रसाद तुम्याङ लिम्बु"" ताप्लेजुङ"
खेल प्रसाद बुडाक्षेत्री,ताप्लेजुङ,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"""खेल प्रसाद बुडाक्षेत्री""|""खेल"" ताप्लेजुङ|""खेल"" 1|ताप्लेजुङ 1 चुनाव|#खेल|""खेल प्रसाद बुडाक्षेत्री"" ताप्लेजुङ"
बिरेन्द्र श्रेष्ठ,ताप्लेजुङ,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"""बिरेन्द्र श्रेष्ठ""|""बिरेन्द्र"" ताप्लेजुङ|""बिरेन्द्र"" 1|ताप्लेजुङ 1 चुनाव|#बिरेन्द्र|""बिरेन्द्र श्रेष्ठ"" ताप्लेजुङ"
ईन्द्र प्रसाद थापा,ताप्लेजुङ,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"""ईन्द्र प्रसाद थापा""|""ईन्द्र"" ताप्लेजुङ|""ईन्द्र"" 1|ताप्लेजुङ 1 चुनाव|#ईन्द्र|""ईन्द्र प्रसाद थापा"" ताप्लेजुङ"
सूर्य गुरुङ,ताप्लेजुङ,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"""सूर्य गुरुङ""|""सूर्य"" ताप्लेजुङ|""सूर्य"" 1|ताप्लेजुङ 1 चुनाव|#सूर्य|""सूर्य गुरुङ"" ताप्लेजुङ"
सन्त बहादुर लिम्बु,ताप्लेजुङ,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"""सन्त बहादुर लिम्बु""|""सन्त"" ताप्लेजुङ|""सन्त"" 1|ताप्लेजुङ 1 चुनाव|#सन्त|""सन्त बहादुर लिम्बु"" ताप्लेजुङ"
इन्द्र कुमार लिम्बू,ताप्लेजुङ,1,नेपाल जनमुक्ति पार्टी,घर,"""इन्द्र कुमार लिम्बू""|""इन्द्र"" ताप्लेजुङ|""इन्द्र"" 1|ताप्लेजुङ 1 चुनाव|#इन्द्र|""इन्द्र कुमार लिम्बू"" ताप्लेजुङ"
"मुकसाम लाबुङ, लिम्बु",ताप्लेजुङ,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"""मुकसाम लाबुङ, लिम्बु""|""मुकसाम"" ताप्लेजुङ|""मुकसाम"" 1|ताप्लेजुङ 1 चुनाव|#मुकसाम|""मुकसाम लाबुङ, लिम्बु"" ताप्लेजुङ"
सन्तोष राई,ताप्लेजुङ,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"""सन्तोष राई""|""सन्तोष"" ताप्लेजुङ|""सन्तोष"" 1|ताप्लेजुङ 1 चुनाव|#सन्तोष|""सन्तोष राई"" ताप्लेजुङ"
नरपती पौडेल,ताप्लेजुङ,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"""नरपती पौडेल""|""नरपती"" ताप्लेजुङ|""नरपती"" 1|ताप्लेजुङ 1 चुनाव|#नरपती|""नरपती पौडेल"" ताप्लेजुङ"
किर्ती मान मादेन,ताप्लेजुङ,1,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"""किर्ती मान मादेन""|""किर्ती"" ताप्लेजुङ|""किर्ती"" 1|ताप्लेजुङ 1 चुनाव|#किर्ती|""किर्ती मान मादेन"" ताप्लेजुङ"
अरुन सुब्बा (लेछर्वो),ताप्लेजुङ,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),"""अरुन सुब्बा (लेछर्वो)""|""अरुन"" ताप्लेजुङ|""अरुन"" 1|ताप्लेजुङ 1 चुनाव|#अरुन|""अरुन सुब्बा (लेछर्वो)"" ताप्लेजुङ"
अइन्द्र सुन्दर नेम्वाङ,पाँचथर,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""अइन्द्र सुन्दर नेम्वाङ""|""अइन्द्र"" पाँचथर|""अइन्द्र"" 1|पाँचथर 1 चुनाव|#अइन्द्र|""अइन्द्र सुन्दर नेम्वाङ"" पाँचथर"
नरेन्द्र कुमार केरुङ,पाँचथर,1,नेपाली काँग्रेस,रुख,"""नरेन्द्र कुमार केरुङ""|""नरेन्द्र"" पाँचथर|""नरेन्द्र"" 1|पाँचथर 1 चुनाव|#नरेन्द्र|""नरेन्द्र कुमार केरुङ"" पाँचथर"
हर्क बहादुर नेम्बाङ,पाँचथर,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"""हर्क बहादुर नेम्बाङ""|""हर्क"" पाँचथर|""हर्क"" 1|पाँचथर 1 चुनाव|#हर्क|""हर्क बहादुर नेम्बाङ"" पाँचथर"
महेन्द्र विक्रम थाम्सुहाङ,पाँचथर,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"""महेन्द्र विक्रम थाम्सुहाङ""|""महेन्द्र"" पाँचथर|""महेन्द्र"" 1|पाँचथर 1 चुनाव|#महेन्द्र|""महेन्द्र विक्रम थाम्सुहाङ"" पाँचथर"
तेज कुमार कुरुम्वाङ्ग,पाँचथर,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"""तेज कुमार कुरुम्वाङ्ग""|""तेज"" पाँचथर|""तेज"" 1|पाँचथर 1 चुनाव|#तेज|""तेज कुमार कुरुम्वाङ्ग"" पाँचथर"
मचिन्द्र प्रसाद बेघा,पाँचथर,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"""मचिन्द्र प्रसाद बेघा""|""मचिन्द्र"" पाँचथर|""मचिन्द्र"" 1|पाँचथर 1 चुनाव|#मचिन्द्र|""मचिन्द्र प्रसाद बेघा"" पाँचथर"
लक्षुमान तामाङ,पाँचथर,1,नेपाल मजदुर किसान पार्टी,मादल,"""लक्षुमान तामाङ""|""लक्षुमान"" पाँचथर|""लक्षुमान"" 1|पाँचथर 1 चुनाव|#लक्षुमान|""लक्षुमान तामाङ"" पाँचथर"
प्रकाश काफ्ले,पाँचथर,1,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,"""प्रकाश काफ्ले""|""प्रकाश"" पाँचथर|""प्रकाश"" 1|पाँचथर 1 चुनाव|#प्रकाश|""प्रकाश काफ्ले"" पाँचथर"
राम कुमार तुम्रोक,पाँचथर,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"""राम कुमार तुम्रोक""|""राम"" पाँचथर|""राम"" 1|पाँचथर 1 चुनाव|#राम|""राम कुमार तुम्रोक"" पाँचथर"
नरेन्द्र प्रसाद कुरुम्‍वाङ,पाँचथर,1,नेपाल जनमुक्ति पार्टी,घर,"""नरेन्द्र प्रसाद कुरुम्‍वाङ""|""नरेन्द्र"" पाँचथर|""नरेन्द्र"" 1|पाँचथर 1 चुनाव|#नरेन्द्र|""नरेन्द्र प्रसाद कुरुम्‍वाङ"" पाँचथर"
टेकबहादुर सुब्बा,पाँचथर,1,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,"""टेकबहादुर सुब्बा""|""टेकबहादुर"" पाँचथर|""टेकबहादुर"" 1|पाँचथर 1 चुनाव|#टेकबहादुर|""टेकबहादुर सुब्बा"" पाँचथर"
भानु भक्त फियाक,पाँचथर,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"""भानु भक्त फियाक""|""भानु"" पाँचथर|""भानु"" 1|पाँचथर 1 चुनाव|#भानु|""भानु भक्त फियाक"" पाँचथर"
हस्त राज शेर्मा,पाँचथर,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"""हस्त राज शेर्मा""|""हस्त"" पाँचथर|""हस्त"" 1|पाँचथर 1 चुनाव|#हस्त|""हस्त राज शेर्मा"" पाँचथर"
विजय नेम्वाङ,पाँचथर,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"""विजय नेम्वाङ""|""विजय"" पाँचथर|""विजय"" 1|पाँचथर 1 चुनाव|#विजय|""विजय नेम्वाङ"" पाँचथर"
मित्र लिङदेन,पाँचथर,1,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),चकिया (जाँतो),"""मित्र लिङदेन""|""मित्र"" पाँचथर|""मित्र"" 1|पाँचथर 1 चुनाव|#मित्र|""मित्र लिङदेन"" पाँचथर"
काजी मान कागते,इलाम,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"""काजी मान कागते""|""काजी"" इलाम|""काजी"" 1|इलाम 1 चुनाव|#काजी|""काजी मान कागते"" इलाम"
निश्कल राई,इलाम,1,नेपाली काँग्रेस,रुख,"""निश्कल राई""|""निश्कल"" इलाम|""निश्कल"" 1|इलाम 1 चुनाव|#निश्कल|""निश्कल राई"" इलाम"
