CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName,PowerSearchQuery
कल्याण आचार्य,Klyan Acharya,बाग्लुङ,baglung,1,"(""कल्याण आचार्य"" OR ""Klyan Acharya"") since:2025-09-05"
कृष्ण प्रसाद शर्मा अधिकारी,Krishna Prasad Sharma Adhikari,बाग्लुङ,baglung,1,"(""कृष्ण प्रसाद शर्मा अधिकारी"" OR ""Krishna Prasad Sharma Adhikari"") since:2025-09-05"
गुमा कमुारी बुढा राना मगर,Guma Kmuari Budha Rana Magar,बाग्लुङ,baglung,1,"(""गुमा कमुारी बुढा राना मगर"" OR ""Guma Kmuari Budha Rana Magar"") since:2025-09-05"
चित्र प्रसाद सापकोटा,Chitr Prasad Sapkota,बाग्लुङ,baglung,1,"(""चित्र प्रसाद सापकोटा"" OR ""Chitr Prasad Sapkota"") since:2025-09-05"
टेक वहादुर के.सी.,Tek Bahadur K.C.,बाग्लुङ,baglung,1,"(""टेक वहादुर के.सी."" OR ""Tek Bahadur K.C."") since:2025-09-05"
भक्त बहादुर बि.क,Bhakta Bahadur B.K.,बाग्लुङ,baglung,1,"(""भक्त बहादुर बि.क"" OR ""Bhakta Bahadur B.K."") since:2025-09-05"
भिम बहादुर श्रीस राना,Bhim Bahadur Shris Rana,बाग्लुङ,baglung,1,"(""भिम बहादुर श्रीस राना"" OR ""Bhim Bahadur Shris Rana"") since:2025-09-05"
लाल बहादुर घर्ती,Lal Bahadur Gharti,बाग्लुङ,baglung,1,"(""लाल बहादुर घर्ती"" OR ""Lal Bahadur Gharti"") since:2025-09-05"
सहविर थापा,Shvir Thapa,बाग्लुङ,baglung,1,"(""सहविर थापा"" OR ""Shvir Thapa"") since:2025-09-05"
सुशील खड्का,Sushil Khadka,बाग्लुङ,baglung,1,"(""सुशील खड्का"" OR ""Sushil Khadka"") since:2025-09-05"
हिरा बहादुर खत्री,Hira Bahadur Khatri,बाग्लुङ,baglung,1,"(""हिरा बहादुर खत्री"" OR ""Hira Bahadur Khatri"") since:2025-09-05"
अनिता कुमारी,Anita Kumari,बारा,bara,2,"(""अनिता कुमारी"" OR ""Anita Kumari"") since:2025-09-05"
अमरदेव प्रसाद यादव,Amrdev Prasad Yadav,बारा,bara,2,"(""अमरदेव प्रसाद यादव"" OR ""Amrdev Prasad Yadav"") since:2025-09-05"
अमरेश कुमार पाण्डे,Amresh Kumar Pandey,बारा,bara,2,"(""अमरेश कुमार पाण्डे"" OR ""Amresh Kumar Pandey"") since:2025-09-05"
आत्‍माराम प्रसाद साह,At Maram Prasad Sah,बारा,bara,2,"(""आत्‍माराम प्रसाद साह"" OR ""At Maram Prasad Sah"") since:2025-09-05"
ईन्जाद अंसारी,Injad Ansari,बारा,bara,2,"(""ईन्जाद अंसारी"" OR ""Injad Ansari"") since:2025-09-05"
चन्दन कुमार यादव,Chandan Kumar Yadav,बारा,bara,2,"(""चन्दन कुमार यादव"" OR ""Chandan Kumar Yadav"") since:2025-09-05"
चन्दन कुमार सिंह,Chandan Kumar Singh,बारा,bara,2,"(""चन्दन कुमार सिंह"" OR ""Chandan Kumar Singh"") since:2025-09-05"
छोटेलाल साह,Chhotelal Sah,बारा,bara,2,"(""छोटेलाल साह"" OR ""Chhotelal Sah"") since:2025-09-05"
जालन्‍दर महतो,Jaln Dr Mahato,बारा,bara,2,"(""जालन्‍दर महतो"" OR ""Jaln Dr Mahato"") since:2025-09-05"
जालमहमद अंसारी,Jalmohamad Ansari,बारा,bara,2,"(""जालमहमद अंसारी"" OR ""Jalmohamad Ansari"") since:2025-09-05"
दिनेश प्रसाद यादव,Dinesh Prasad Yadav,बारा,bara,2,"(""दिनेश प्रसाद यादव"" OR ""Dinesh Prasad Yadav"") since:2025-09-05"
नगिना देबी,Ngina Debi,बारा,bara,2,"(""नगिना देबी"" OR ""Ngina Debi"") since:2025-09-05"
प्रदेशी साह,Prdeshi Sah,बारा,bara,2,"(""प्रदेशी साह"" OR ""Prdeshi Sah"") since:2025-09-05"
प्रयाग प्रसाद चौधरी,Pryag Prasad Chaudhary,बारा,bara,2,"(""प्रयाग प्रसाद चौधरी"" OR ""Pryag Prasad Chaudhary"") since:2025-09-05"
बलबिर प्रसाद चौधरी,Blbir Prasad Chaudhary,बारा,bara,2,"(""बलबिर प्रसाद चौधरी"" OR ""Blbir Prasad Chaudhary"") since:2025-09-05"
भैयाराम प्रसाद यादव,Bhaiyaram Prasad Yadav,बारा,bara,2,"(""भैयाराम प्रसाद यादव"" OR ""Bhaiyaram Prasad Yadav"") since:2025-09-05"
