CandidateName,DistrictName,ConstName,SmartKeywords
क्षितिज थेबे,ताप्लेजुङ,1,"""क्षितिज थेबे""|""क्षितिज थेबे"" ताप्लेजुङ 1"
गजेन्द्र प्रसाद तुम्याङ लिम्बु,ताप्लेजुङ,1,"""गजेन्द्र प्रसाद तुम्याङ लिम्बु""|""गजेन्द्र प्रसाद तुम्याङ लिम्बु"" ताप्लेजुङ 1"
खेल प्रसाद बुडाक्षेत्री,ताप्लेजुङ,1,"""खेल प्रसाद बुडाक्षेत्री"" ताप्लेजुङ 1"
बिरेन्द्र श्रेष्ठ,ताप्लेजुङ,1,"""बिरेन्द्र श्रेष्ठ""|""बिरेन्द्र श्रेष्ठ"" ताप्लेजुङ 1"
ईन्द्र प्रसाद थापा,ताप्लेजुङ,1,"""ईन्द्र प्रसाद थापा"" ताप्लेजुङ 1"
सूर्य गुरुङ,ताप्लेजुङ,1,"""सूर्य गुरुङ"" ताप्लेजुङ 1"
सन्त बहादुर लिम्बु,ताप्लेजुङ,1,"""सन्त बहादुर लिम्बु"" ताप्लेजुङ 1"
इन्द्र कुमार लिम्बू,ताप्लेजुङ,1,"""इन्द्र कुमार लिम्बू"" ताप्लेजुङ 1"
"मुकसाम लाबुङ, लिम्बु",ताप्लेजुङ,1,"""मुकसाम लाबुङ, लिम्बु"" ताप्लेजुङ 1"
सन्तोष राई,ताप्लेजुङ,1,"""सन्तोष राई"" ताप्लेजुङ 1"
नरपती पौडेल,ताप्लेजुङ,1,"""नरपती पौडेल"" ताप्लेजुङ 1"
किर्ती मान मादेन,ताप्लेजुङ,1,"""किर्ती मान मादेन"" ताप्लेजुङ 1"
अरुन सुब्बा (लेछर्वो),ताप्लेजुङ,1,"""अरुन सुब्बा (लेछर्वो)"" ताप्लेजुङ 1"
अइन्द्र सुन्दर नेम्वाङ,पाँचथर,1,"""अइन्द्र सुन्दर नेम्वाङ"" पाँचथर 1|""अइन्द्र सुन्दर नेम्वाङ"""
नरेन्द्र कुमार केरुङ,पाँचथर,1,"""नरेन्द्र कुमार केरुङ""|""नरेन्द्र कुमार केरुङ"" पाँचथर 1"
हर्क बहादुर नेम्बाङ,पाँचथर,1,"""हर्क बहादुर नेम्बाङ"" पाँचथर 1"
महेन्द्र विक्रम थाम्सुहाङ,पाँचथर,1,"""महेन्द्र विक्रम थाम्सुहाङ""|""महेन्द्र विक्रम थाम्सुहाङ"" पाँचथर 1"
तेज कुमार कुरुम्वाङ्ग,पाँचथर,1,"""तेज कुमार कुरुम्वाङ्ग"" पाँचथर 1"
मचिन्द्र प्रसाद बेघा,पाँचथर,1,"""मचिन्द्र प्रसाद बेघा"" पाँचथर 1"
लक्षुमान तामाङ,पाँचथर,1,"""लक्षुमान तामाङ"" पाँचथर 1"
प्रकाश काफ्ले,पाँचथर,1,"""प्रकाश काफ्ले"" पाँचथर 1"
राम कुमार तुम्रोक,पाँचथर,1,"""राम कुमार तुम्रोक"" पाँचथर 1"
नरेन्द्र प्रसाद कुरुम्‍वाङ,पाँचथर,1,"""नरेन्द्र प्रसाद कुरुम्‍वाङ"" पाँचथर 1"
टेकबहादुर सुब्बा,पाँचथर,1,"""टेकबहादुर सुब्बा"" पाँचथर 1"
भानु भक्त फियाक,पाँचथर,1,"""भानु भक्त फियाक"" पाँचथर 1"
हस्त राज शेर्मा,पाँचथर,1,"""हस्त राज शेर्मा"" पाँचथर 1"
विजय नेम्वाङ,पाँचथर,1,"""विजय नेम्वाङ"" पाँचथर 1"
मित्र लिङदेन,पाँचथर,1,"""मित्र लिङदेन"" पाँचथर 1"
काजी मान कागते,इलाम,1,"""काजी मान कागते""|""काजी मान कागते"" इलाम 1"
निश्कल राई,इलाम,1,"""निश्कल राई"" इलाम 1|""निश्कल राई"""
रन बहादुर राई,इलाम,1,"""रन बहादुर राई"" इलाम 1"
विमल गदाल,इलाम,1,"""विमल गदाल""|""विमल गदाल"" इलाम 1"
ज्वाला  नेपाल ,इलाम,1,"""ज्वाला  नेपाल"" इलाम 1"
तुल्सी केशरी प्रजापति (छुंजु),इलाम,1,"""तुल्सी केशरी प्रजापति (छुंजु)"" इलाम 1"
बुद्ध लाल मेचे,इलाम,1,"""बुद्ध लाल मेचे"" इलाम 1"
डम्बर सिंह लिम्बु,इलाम,1,"""डम्बर सिंह लिम्बु"" इलाम 1"
राम प्रसाद लिम्बू,इलाम,1,"""राम प्रसाद लिम्बू"" इलाम 1"
विनोद नेम्बाङ्ग लिम्बु,इलाम,1,"""विनोद नेम्बाङ्ग लिम्बु"" इलाम 1"
नारदमणी साङपाङ्ग,इलाम,1,"""नारदमणी साङपाङ्ग"" इलाम 1"
हरि बहादुर गुरुङ,इलाम,1,"""हरि बहादुर गुरुङ"" इलाम 1"
लिला बहादुर सुनुवार,इलाम,1,"""लिला बहादुर सुनुवार"" इलाम 1"
सुहाङ नेम्बाङ,इलाम,2,"""सुहाङ नेम्बाङ"" इलाम 2|""सुहाङ नेम्बाङ"""
भेषराज आचार्य,इलाम,2,"""भेषराज आचार्य"" इलाम 2|""भेषराज आचार्य"""
ओम बहादुर गुरुङ्ग,इलाम,2,"""ओम बहादुर गुरुङ्ग"" इलाम 2"
गोकुल बहादुर राई,इलाम,2,"""गोकुल बहादुर राई""|""गोकुल बहादुर राई"" इलाम 2"
गणेश प्रसाद दुलाल,इलाम,2,"""गणेश प्रसाद दुलाल"" इलाम 2"
