Name,District,No,Party,KeywordList
क्षितिज थेबे,ताप्लेजुङ,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Kshitiz Thebe"" ताप्लेजुङ 1|""क्षितिज थेबे"" ताप्लेजुङ 1|""Kshitiz Thebe""|""क्षितिज थेबे"""
गजेन्द्र प्रसाद तुम्याङ लिम्बु,ताप्लेजुङ,1,नेपाली काँग्रेस,"""Gajendra Prasad Tumyang Limbu"" ताप्लेजुङ 1|""गजेन्द्र प्रसाद तुम्याङ लिम्बु"" ताप्लेजुङ 1|""Gajendra Prasad Tumyang Limbu""|""गजेन्द्र प्रसाद तुम्याङ लिम्बु"""
खेल प्रसाद बुडाक्षेत्री,ताप्लेजुङ,1,नेपाली कम्युनिष्ट पार्टी,"""खेल प्रसाद बुडाक्षेत्री"" ताप्लेजुङ 1|""खेल प्रसाद बुडाक्षेत्री"""
बिरेन्द्र श्रेष्ठ,ताप्लेजुङ,1,राष्ट्रिय स्वतन्त्र पार्टी,"""Birendra Shrestha"" ताप्लेजुङ 1|""बिरेन्द्र श्रेष्ठ"" ताप्लेजुङ 1|""Birendra Shrestha""|""बिरेन्द्र श्रेष्ठ"""
ईन्द्र प्रसाद थापा,ताप्लेजुङ,1,राष्ट्रिय प्रजातन्त्र पार्टी,"""Indra Prasad Thapa"" ताप्लेजुङ 1|""ईन्द्र प्रसाद थापा"" ताप्लेजुङ 1|""Indra Prasad Thapa""|""ईन्द्र प्रसाद थापा"""
सूर्य गुरुङ,ताप्लेजुङ,1,"जनता समाजवादी पार्टी, नेपाल","""Surya Gurung"" ताप्लेजुङ 1|""सूर्य गुरुङ"" ताप्लेजुङ 1|""Surya Gurung""|""सूर्य गुरुङ"""
सन्त बहादुर लिम्बु,ताप्लेजुङ,1,मंगोल नेशनल अर्गनाइजेसन,"""सन्त बहादुर लिम्बु"" ताप्लेजुङ 1|""सन्त बहादुर लिम्बु"""
इन्द्र कुमार लिम्बू,ताप्लेजुङ,1,नेपाल जनमुक्ति पार्टी,"""इन्द्र कुमार लिम्बू"" ताप्लेजुङ 1|""इन्द्र कुमार लिम्बू"""
"मुकसाम लाबुङ, लिम्बु",ताप्लेजुङ,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""मुकसाम लाबुङ, लिम्बु"" ताप्लेजुङ 1|""मुकसाम लाबुङ, लिम्बु"""
सन्तोष राई,ताप्लेजुङ,1,श्रम संस्कृति पार्टी,"""सन्तोष राई"" ताप्लेजुङ 1|""सन्तोष राई"""
नरपती पौडेल,ताप्लेजुङ,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""नरपती पौडेल"" ताप्लेजुङ 1|""नरपती पौडेल"""
किर्ती मान मादेन,ताप्लेजुङ,1,उज्यालो नेपाल पार्टी,"""किर्ती मान मादेन"" ताप्लेजुङ 1|""किर्ती मान मादेन"""
अरुन सुब्बा (लेछर्वो),ताप्लेजुङ,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),"""अरुन सुब्बा (लेछर्वो)"" ताप्लेजुङ 1|""अरुन सुब्बा (लेछर्वो)"""
अइन्द्र सुन्दर नेम्वाङ,पाँचथर,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""Aindr Sundr Nemvang"" पाँचथर 1|""अइन्द्र सुन्दर नेम्वाङ"" पाँचथर 1|""Aindr Sundr Nemvang""|""अइन्द्र सुन्दर नेम्वाङ"""
नरेन्द्र कुमार केरुङ,पाँचथर,1,नेपाली काँग्रेस,"""Nrendr Kumar Kerung"" पाँचथर 1|""नरेन्द्र कुमार केरुङ"" पाँचथर 1|""Nrendr Kumar Kerung""|""नरेन्द्र कुमार केरुङ"""
हर्क बहादुर नेम्बाङ,पाँचथर,1,नेपाली कम्युनिष्ट पार्टी,"""हर्क बहादुर नेम्बाङ"" पाँचथर 1|""हर्क बहादुर नेम्बाङ"""
महेन्द्र विक्रम थाम्सुहाङ,पाँचथर,1,राष्ट्रिय स्वतन्त्र पार्टी,"""Mhendr Vikrm Thamsuhang"" पाँचथर 1|""महेन्द्र विक्रम थाम्सुहाङ"" पाँचथर 1|""Mhendr Vikrm Thamsuhang""|""महेन्द्र विक्रम थाम्सुहाङ"""
तेज कुमार कुरुम्वाङ्ग,पाँचथर,1,राष्ट्रिय प्रजातन्त्र पार्टी,"""Tej Kumar Kurumvangg"" पाँचथर 1|""तेज कुमार कुरुम्वाङ्ग"" पाँचथर 1|""Tej Kumar Kurumvangg""|""तेज कुमार कुरुम्वाङ्ग"""
मचिन्द्र प्रसाद बेघा,पाँचथर,1,"जनता समाजवादी पार्टी, नेपाल","""Mchindr Prsad Begha"" पाँचथर 1|""मचिन्द्र प्रसाद बेघा"" पाँचथर 1|""Mchindr Prsad Begha""|""मचिन्द्र प्रसाद बेघा"""
