Name,District,ConstNo,Party,Keywords,FileSaveName,DistrictEng
क्षितिज थेबे,ताप्लेजुङ,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""क्षितिज थेबे"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
गजेन्द्र प्रसाद तुम्याङ लिम्बु,ताप्लेजुङ,1,नेपाली काँग्रेस,"""गजेन्द्र प्रसाद तुम्याङ लिम्बु"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
खेल प्रसाद बुडाक्षेत्री,ताप्लेजुङ,1,नेपाली कम्युनिष्ट पार्टी,"""खेल प्रसाद बुडाक्षेत्री"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
बिरेन्द्र श्रेष्ठ,ताप्लेजुङ,1,राष्ट्रिय स्वतन्त्र पार्टी,"""बिरेन्द्र श्रेष्ठ"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
ईन्द्र प्रसाद थापा,ताप्लेजुङ,1,राष्ट्रिय प्रजातन्त्र पार्टी,"""ईन्द्र प्रसाद थापा"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
सूर्य गुरुङ,ताप्लेजुङ,1,"जनता समाजवादी पार्टी, नेपाल","""सूर्य गुरुङ"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
सन्त बहादुर लिम्बु,ताप्लेजुङ,1,मंगोल नेशनल अर्गनाइजेसन,"""सन्त बहादुर लिम्बु"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
इन्द्र कुमार लिम्बू,ताप्लेजुङ,1,नेपाल जनमुक्ति पार्टी,"""इन्द्र कुमार लिम्बू"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
"मुकसाम लाबुङ, लिम्बु",ताप्लेजुङ,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"""मुकसाम लाबुङ, लिम्बु"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
सन्तोष राई,ताप्लेजुङ,1,श्रम संस्कृति पार्टी,"""सन्तोष राई"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
नरपती पौडेल,ताप्लेजुङ,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),"""नरपती पौडेल"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
किर्ती मान मादेन,ताप्लेजुङ,1,उज्यालो नेपाल पार्टी,"""किर्ती मान मादेन"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
अरुन सुब्बा (लेछर्वो),ताप्लेजुङ,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),"""अरुन सुब्बा (लेछर्वो)"" ताप्लेजुङ 1",taplejung_1.csv,Taplejung
अइन्द्र सुन्दर नेम्वाङ,पाँचथर,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),"""अइन्द्र सुन्दर नेम्वाङ"" पाँचथर 1",panchthar_1.csv,Panchthar
