CandidateName,District,ConstituencyNo,Party,Symbol,Search Keywords
क्षितिज थेबे,ताप्लेजुङ,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""क्षितिज थेबे"" OR ""Kashaitaija Thaebae"" OR ""Kashaitaija"")"
गजेन्द्र प्रसाद तुम्याङ लिम्बु,ताप्लेजुङ,1,नेपाली काँग्रेस,रुख,"(""Gajaenadara"" OR ""गजेन्द्र प्रसाद तुम्याङ लिम्बु"" OR ""Gajaenadara Parasada Taumayanga Laimabau"")"
खेल प्रसाद बुडाक्षेत्री,ताप्लेजुङ,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""Khaela Parasada Baudakashaetarai"" OR ""Khaela"" OR ""खेल प्रसाद बुडाक्षेत्री"")"
बिरेन्द्र श्रेष्ठ,ताप्लेजुङ,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""Bairaenadara Sharaeshatha"" OR ""बिरेन्द्र श्रेष्ठ"" OR ""Bairaenadara"")"
ईन्द्र प्रसाद थापा,ताप्लेजुङ,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""Inadara Parasada Thapa"" OR ""ईन्द्र प्रसाद थापा"" OR ""Inadara"")"
सूर्य गुरुङ,ताप्लेजुङ,1,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,"(""Sauraya Gauraunga"" OR ""सूर्य गुरुङ"" OR ""Sauraya"")"
सन्त बहादुर लिम्बु,ताप्लेजुङ,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले,"(""सन्त बहादुर लिम्बु"" OR ""Sanata"" OR ""Sanata Bahadaura Laimabau"")"
इन्द्र कुमार लिम्बू,ताप्लेजुङ,1,नेपाल जनमुक्ति पार्टी,घर,"(""इन्द्र कुमार लिम्बू"" OR ""Inadara"" OR ""Inadara Kaumara Laimabau"")"
"मुकसाम लाबुङ, लिम्बु",ताप्लेजुङ,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,"(""Maukasama"" OR ""Maukasama Labaunga Laimabau"" OR ""मुकसाम लाबुङ, लिम्बु"")"
सन्तोष राई,ताप्लेजुङ,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,"(""Sanataosha Rai"" OR ""Sanataosha"" OR ""सन्तोष राई"")"
नरपती पौडेल,ताप्लेजुङ,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"(""नरपती पौडेल"" OR ""Narapatai"" OR ""Narapatai Paudaela"")"
किर्ती मान मादेन,ताप्लेजुङ,1,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"(""किर्ती मान मादेन"" OR ""Kairatai Mana Madaena"" OR ""Kairatai"")"
अरुन सुब्बा (लेछर्वो),ताप्लेजुङ,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),चकिया (जाँतो),"(""अरुन सुब्बा (लेछर्वो)"" OR ""Arauna Saubaba Laechharawao"" OR ""Arauna"")"
अइन्द्र सुन्दर नेम्वाङ,पाँचथर,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,"(""अइन्द्र सुन्दर नेम्वाङ"" OR ""Ainadara"" OR ""Ainadara Saunadara Naemawanga"")"
नरेन्द्र कुमार केरुङ,पाँचथर,1,नेपाली काँग्रेस,रुख,"(""Naraenadara Kaumara Kaeraunga"" OR ""नरेन्द्र कुमार केरुङ"" OR ""Naraenadara"")"
हर्क बहादुर नेम्बाङ,पाँचथर,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,"(""हर्क बहादुर नेम्बाङ"" OR ""Haraka Bahadaura Naemabanga"" OR ""Haraka"")"
महेन्द्र विक्रम थाम्सुहाङ,पाँचथर,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,"(""महेन्द्र विक्रम थाम्सुहाङ"" OR ""Mahaenadara"" OR ""Mahaenadara Waikarama Thamasauhanga"")"
तेज कुमार कुरुम्वाङ्ग,पाँचथर,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,"(""Taeja Kaumara Kauraumawangaga"" OR ""Taeja"" OR ""तेज कुमार कुरुम्वाङ्ग"")"
