Candidate,EnglishName,Constituency,Author,Text
अर्जुन सापकोटा,Arjun Sapkota,jhapa_5,शशांक घिमिरे ,म कलाकार भन्दा पनि सचेत युवाको भुमिकाले आन्दोलनमा आएको हु भन्दै माइतीघरबाट जं गिए चर्चित गायक अर्जुन सापकोटा
अर्जुन सापकोटा,Arjun Sapkota,jhapa_5,Sidhakura,वडाअध्यक्षका छोरा अर्जुन सापकोटा (टिका) ले झापा–५ बाट बागी उम्मेदवारी दिएका छन् ।  उनी दमक-२ का वडाअध्यक्ष प्रजापति सापकोटाका छोरा हुन् ।
अर्जुन सापकोटा,Arjun Sapkota,jhapa_5,Routine of Nepal banda,Wow... Singer Arjun Sapkota is currently at No. 1 position in 'Top Artist from Nepal' list with 4.74 Lakhs Viberate Popularity as per Viberate.
अर्जुन सापकोटा,Arjun Sapkota,jhapa_5,indrenitimes dotcom,Gen Z आन्दोलनमा आगजनी गरिएको टिकटकर अंश वर्मालगायतद्वारा पुन: सञ्चालित चिया बगान किर्तिपुरमा गायक अर्जुन सापकोटा लगायत #indrenitimes
अर्जुन सापकोटा,Arjun Sapkota,jhapa_5,Nabin,"झालिको तिम्रो याद अलिको हिमाल भन्दा नि ! बधाई छ अर्जुन सापकोटा, मेलिना राई, समिक्षा अधिकारी र कुसुम भण्डारी"
अर्जुन सापकोटा,Arjun Sapkota,jhapa_5,Dainik Nepal,अर्जुन सापकोटा र प्रिया भण्डारीको स्वरमा नयाँ गीत ‘म त पत्याउन्न केरे’ सार्वजनिक
अर्जुन सापकोटा,Arjun Sapkota,jhapa_5,Sushil Panta,"‘वनकी चरी’देखि ‘झलिको’सम्म : लोक-संगीतका नयाँ स्टार अर्जुनको सफल उडान  https:// lokaantar.com/story/305768/2 025/12/6/music/arjun-sapkota- … नशा-नशामा गीत-सङ्गीतको आवाज बग्छ । एउटा सामान्य परिवारको मान्छे यही क्षेत्रलाई कर्म बनाएर स्याङ्जाबाट नवलपरासी हुँदै काठमाडौं आएँ, एउटा ठिटोलाई अर्जुन सापकोटा बनायो"
अर्जुन सापकोटा,Arjun Sapkota,jhapa_5,arjun sapkota,Check out Mr. Acharya's video! #TikTok
अर्जुन सापकोटा,Arjun Sapkota,jhapa_5,Arjun Sapkota,@SadhguruJV  soil is a life making material it is not some kind of  http:// dust.To thrive life strongly soil has to thrive  http:// first.it is our fundamental responsibility to make this happen.#savesoil.
अर्जुन सापकोटा,Arjun Sapkota,jhapa_5,Arjun Sapkota,@SadhguruJV
अर्जुन सापकोटा,Arjun Sapkota,jhapa_5,Sagar Sunar,प्रथम कपिलवस्तु व्यापार मेलामा  चर्चित लोकदोहोरी गायक अर्जुन सापकोटा  https:// facebook.com/share/v/17qWyd ptTX/ …
