CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName,NepaliSearchQuery,EnglishSearchQuery,PowerSearchQuery,FileSaveName
ओमप्रकाश रावल,Omprkash Rawal,अछाम,achham,1,"""ओमप्रकाश रावल"" since:2025-09-05","""Omprkash Rawal"" since:2025-09-05","(""ओमप्रकाश रावल"" OR ""Omprkash Rawal"") since:2025-09-05",achham_1.csv
दिपक बहादुर साउंद,Deepak Bahadur Saud,अछाम,achham,1,"""दिपक बहादुर साउंद"" since:2025-09-05","""Deepak Bahadur Saud"" since:2025-09-05","(""दिपक बहादुर साउंद"" OR ""Deepak Bahadur Saud"") since:2025-09-05",achham_1.csv
भरत कुमार स्वार,Bharat Kumar Svar,अछाम,achham,1,"""भरत कुमार स्वार"" since:2025-09-05","""Bharat Kumar Svar"" since:2025-09-05","(""भरत कुमार स्वार"" OR ""Bharat Kumar Svar"") since:2025-09-05",achham_1.csv
भिम बहादुर कुँवर,Bhim Bahadur Kunwar,अछाम,achham,1,"""भिम बहादुर कुँवर"" since:2025-09-05","""Bhim Bahadur Kunwar"" since:2025-09-05","(""भिम बहादुर कुँवर"" OR ""Bhim Bahadur Kunwar"") since:2025-09-05",achham_1.csv
भीम बहादुर रावल,Bhim Bahadur Rawal,अछाम,achham,1,"""भीम बहादुर रावल"" since:2025-09-05","""Bhim Bahadur Rawal"" since:2025-09-05","(""भीम बहादुर रावल"" OR ""Bhim Bahadur Rawal"") since:2025-09-05",achham_1.csv
लोकेन्द्र बहादुर शाह,Lokendra Bahadur Shah,अछाम,achham,1,"""लोकेन्द्र बहादुर शाह"" since:2025-09-05","""Lokendra Bahadur Shah"" since:2025-09-05","(""लोकेन्द्र बहादुर शाह"" OR ""Lokendra Bahadur Shah"") since:2025-09-05",achham_1.csv
लोकेन्द्र बहादुर शाही,Lokendra Bahadur Shahi,अछाम,achham,1,"""लोकेन्द्र बहादुर शाही"" since:2025-09-05","""Lokendra Bahadur Shahi"" since:2025-09-05","(""लोकेन्द्र बहादुर शाही"" OR ""Lokendra Bahadur Shahi"") since:2025-09-05",achham_1.csv
सुरेन्द्र शाही,Surendra Shahi,अछाम,achham,1,"""सुरेन्द्र शाही"" since:2025-09-05","""Surendra Shahi"" since:2025-09-05","(""सुरेन्द्र शाही"" OR ""Surendra Shahi"") since:2025-09-05",achham_1.csv
झंकर बहादुर शाही,Jhnkr Bahadur Shahi,अछाम,achham,2,"""झंकर बहादुर शाही"" since:2025-09-05","""Jhnkr Bahadur Shahi"" since:2025-09-05","(""झंकर बहादुर शाही"" OR ""Jhnkr Bahadur Shahi"") since:2025-09-05",achham_2.csv
पुष्प बहादुर शाह,Pushpa Bahadur Shah,अछाम,achham,2,"""पुष्प बहादुर शाह"" since:2025-09-05","""Pushpa Bahadur Shah"" since:2025-09-05","(""पुष्प बहादुर शाह"" OR ""Pushpa Bahadur Shah"") since:2025-09-05",achham_2.csv
पुष्प राज न्यौपाने,Pushpa Raj Nyaupane,अछाम,achham,2,"""पुष्प राज न्यौपाने"" since:2025-09-05","""Pushpa Raj Nyaupane"" since:2025-09-05","(""पुष्प राज न्यौपाने"" OR ""Pushpa Raj Nyaupane"") since:2025-09-05",achham_2.csv
बल बहादुर कुंवर,Bl Bahadur Kunvr,अछाम,achham,2,"""बल बहादुर कुंवर"" since:2025-09-05","""Bl Bahadur Kunvr"" since:2025-09-05","(""बल बहादुर कुंवर"" OR ""Bl Bahadur Kunvr"") since:2025-09-05",achham_2.csv
भुप देव शाह,Bhup Dev Shah,अछाम,achham,2,"""भुप देव शाह"" since:2025-09-05","""Bhup Dev Shah"" since:2025-09-05","(""भुप देव शाह"" OR ""Bhup Dev Shah"") since:2025-09-05",achham_2.csv
मिन बहादुर शाही,Min Bahadur Shahi,अछाम,achham,2,"""मिन बहादुर शाही"" since:2025-09-05","""Min Bahadur Shahi"" since:2025-09-05","(""मिन बहादुर शाही"" OR ""Min Bahadur Shahi"") since:2025-09-05",achham_2.csv
यज्ञ बहादुर बोगटी,Yjny Bahadur Bogti,अछाम,achham,2,"""यज्ञ बहादुर बोगटी"" since:2025-09-05","""Yjny Bahadur Bogti"" since:2025-09-05","(""यज्ञ बहादुर बोगटी"" OR ""Yjny Bahadur Bogti"") since:2025-09-05",achham_2.csv
राजेश रावल,Rajesh Rawal,अछाम,achham,2,"""राजेश रावल"" since:2025-09-05","""Rajesh Rawal"" since:2025-09-05","(""राजेश रावल"" OR ""Rajesh Rawal"") since:2025-09-05",achham_2.csv
शेर बहादुर वि क,Sher Bahadur Vi K,अछाम,achham,2,"""शेर बहादुर वि क"" since:2025-09-05","""Sher Bahadur Vi K"" since:2025-09-05","(""शेर बहादुर वि क"" OR ""Sher Bahadur Vi K"") since:2025-09-05",achham_2.csv
खिम बहादुर घर्ती मगर,Khim Bahadur Ghrti Magar,अर्घाखाँची,arghakhanchi,1,"""खिम बहादुर घर्ती मगर"" since:2025-09-05","""Khim Bahadur Ghrti Magar"" since:2025-09-05","(""खिम बहादुर घर्ती मगर"" OR ""Khim Bahadur Ghrti Magar"") since:2025-09-05",arghakhanchi_1.csv
झबिन्द्र फुल्लेल,Jhbindr Phullel,अर्घाखाँची,arghakhanchi,1,"""झबिन्द्र फुल्लेल"" since:2025-09-05","""Jhbindr Phullel"" since:2025-09-05","(""झबिन्द्र फुल्लेल"" OR ""Jhbindr Phullel"") since:2025-09-05",arghakhanchi_1.csv
