CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName,PowerSearchQuery
कल्याण आचार्य,Kalyan Acharya,बाग्लुङ,baglung,1,"(""कल्याण आचार्य"" OR ""Kalyan Acharya"") (""baglung"" OR ""constituency"") since:2025-09-05"
कृष्ण प्रसाद शर्मा अधिकारी,Krishna Prasad Sharma Adhikari,बाग्लुङ,baglung,1,"(""कृष्ण प्रसाद शर्मा अधिकारी"" OR ""Krishna Prasad Sharma Adhikari"") (""baglung"" OR ""constituency"") since:2025-09-05"
गुमा कमुारी बुढा राना मगर,Guma Kumari Budha Rana Magar,बाग्लुङ,baglung,1,"(""गुमा कमुारी बुढा राना मगर"" OR ""Guma Kumari Budha Rana Magar"") (""baglung"" OR ""constituency"") since:2025-09-05"
चित्र प्रसाद सापकोटा,Chitra Prasad Sapkota,बाग्लुङ,baglung,1,"(""चित्र प्रसाद सापकोटा"" OR ""Chitra Prasad Sapkota"") (""baglung"" OR ""constituency"") since:2025-09-05"
टेक वहादुर के.सी.,Tek Bahadur K.C.,बाग्लुङ,baglung,1,"(""टेक वहादुर के.सी."" OR ""Tek Bahadur K.C."") (""baglung"" OR ""constituency"") since:2025-09-05"
भक्त बहादुर बि.क,Bhakta Bahadur B.K.,बाग्लुङ,baglung,1,"(""भक्त बहादुर बि.क"" OR ""Bhakta Bahadur B.K."") (""baglung"" OR ""constituency"") since:2025-09-05"
भिम बहादुर श्रीस राना,Bhim Bahadur Shris Rana,बाग्लुङ,baglung,1,"(""भिम बहादुर श्रीस राना"" OR ""Bhim Bahadur Shris Rana"") (""baglung"" OR ""constituency"") since:2025-09-05"
लाल बहादुर घर्ती,Lal Bahadur Gharti,बाग्लुङ,baglung,1,"(""लाल बहादुर घर्ती"" OR ""Lal Bahadur Gharti"") (""baglung"" OR ""constituency"") since:2025-09-05"
सहविर थापा,Sahavir Thapa,बाग्लुङ,baglung,1,"(""सहविर थापा"" OR ""Sahavir Thapa"") (""baglung"" OR ""constituency"") since:2025-09-05"
सुशील खड्का,Sushil Khadka,बाग्लुङ,baglung,1,"(""सुशील खड्का"" OR ""Sushil Khadka"") (""baglung"" OR ""constituency"") since:2025-09-05"
हिरा बहादुर खत्री,Hira Bahadur Khatri,बाग्लुङ,baglung,1,"(""हिरा बहादुर खत्री"" OR ""Hira Bahadur Khatri"") (""baglung"" OR ""constituency"") since:2025-09-05"
अनिता कुमारी,Anita Kumari,बारा,bara,2,"(""अनिता कुमारी"" OR ""Anita Kumari"") (""bara"" OR ""constituency"") since:2025-09-05"
अमरदेव प्रसाद यादव,Amardev Prasad Yadav,बारा,bara,2,"(""अमरदेव प्रसाद यादव"" OR ""Amardev Prasad Yadav"") (""bara"" OR ""constituency"") since:2025-09-05"
अमरेश कुमार पाण्डे,Amresh Kumar Pandey,बारा,bara,2,"(""अमरेश कुमार पाण्डे"" OR ""Amresh Kumar Pandey"") (""bara"" OR ""constituency"") since:2025-09-05"
आत्‍माराम प्रसाद साह,Atmaram Prasad Sah,बारा,bara,2,"(""आत्‍माराम प्रसाद साह"" OR ""Atmaram Prasad Sah"") (""bara"" OR ""constituency"") since:2025-09-05"
