CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName
अस्‍मिन घिमिरे,Ashmin Ghimire,चितवन,chitwan,2
इन्द्र बहादुर स्याङतान,Indra Bahadur Syangtan,चितवन,chitwan,2
ऋषा गोले,Risha Gole,चितवन,chitwan,2
कमान सिंह चौधरी,Kaman Singh Chaudhary,चितवन,chitwan,2
कृष्ण प्रसाद चापागाई,Krishna Prasad Chapagai,चितवन,chitwan,2
जगदिश्वर अधिकारी,Jagadishwar Adhikari,चितवन,chitwan,2
दिर्शना कुमारी शाही,Dirshana Kumari Shahi,चितवन,chitwan,2
देवी कुमारी मगर,Devi Kumari Magar,चितवन,chitwan,2
देवी शर्मा,Devi Sharma,चितवन,chitwan,2
नि.कुमार पाख्रीन,Ni. Kumar Pakhrin,चितवन,chitwan,2
निर्मला कुमारी ठाकुर,Nirmala Kumari Thakur,चितवन,chitwan,2
प्रकाश बहादुर पाण्‍डे,Prakash Bahadur Pandey,चितवन,chitwan,2
प्रताप गुरुङ्ग,Pratap Gurung,चितवन,chitwan,2
प्रताप सिंह तमाङ्ग,Pratap Singh Tamang,चितवन,chitwan,2
प्रविन सापकोटा,Pravin Sapkota,चितवन,chitwan,2
मिना कुमारी खरेल,Mina Kumari Kharel,चितवन,chitwan,2
मिलन थापा मगर,Milan Thapa Magar,चितवन,chitwan,2
रवि कुमाल,Rabi Kumal,चितवन,chitwan,2
रवि लामिछाने,Rabi Lamichhane,चितवन,chitwan,2
शंकु प्रसाद जैसी,Shanku Prasad Jaisi,चितवन,chitwan,2
शक्ति राज गुरुङ,Shakti Raj Gurung,चितवन,chitwan,2
शोभा बासुकला,Shobha Basukala,चितवन,chitwan,2
सुवास महतो,Subas Mahato,चितवन,chitwan,2
खडक बहादुर ठकुराठी,Khadak Bahadur Thakurathi,डडेलधुरा,dadeldhura,1
गोरख बहादुर ऐर,Gorkha Bahadur Air,डडेलधुरा,dadeldhura,1
गोविन्द खडायत,Govind Khadayat,डडेलधुरा,dadeldhura,1
चक्र प्रसाद स्नेही,Chakra Prasad Snehi,डडेलधुरा,dadeldhura,1
चन्द्र देव वि‍.क.,Chandra Dev B.K.,डडेलधुरा,dadeldhura,1
तारा प्रसाद जोशी,Tara Prasad Joshi,डडेलधुरा,dadeldhura,1
तिर्थ राज उप्रेती,Tirth Raj Upreti,डडेलधुरा,dadeldhura,1
नैन सिंह महर,Nain Singh Mahar,डडेलधुरा,dadeldhura,1
महेन्द्र पुन मगर,Mahendra Pun Magar,डडेलधुरा,dadeldhura,1
मान सिह माल,Man Singh Malla,डडेलधुरा,dadeldhura,1
लक्ष्मी दत्त भट्ट,Lakshmi Datta Bhatt,डडेलधुरा,dadeldhura,1
सुरेन्द्र रावल,Surendra Rawal,डडेलधुरा,dadeldhura,1
सुरेन्‍द्र राज भट्ट,Surendra Raj Bhatt,डडेलधुरा,dadeldhura,1
अजय कुमार यादव,Ajay Kumar Yadav,धनुषा,dhanusha,3
अमरेन्द्र कुमार झा,Amarendra Kumar Jha,धनुषा,dhanusha,3
अमित कुमार पाठक,Amit Kumar Pathak,धनुषा,dhanusha,3
अरबिन्द कुमार पासवान,Arbind Kumar Paswan,धनुषा,dhanusha,3
