Constituency,DistrictEnglish,DistrictNepali,CandidateEnglish,CandidateNepali,Source,Title,URL,Snippet,Content,RelevanceScore,ScrapedAt
2,chitwan,चितवन,Krishna Prasad Chapagai,कृष्ण प्रसाद चापागाई,DuckDuckGo,कृष्ण प्रसाद चापागाई :: Nepal Election 2082 | Thaha Khabar Candidate ...,https://election.thahakhabar.com/candidate-detail/2226,बागमती जिल्ला (District) चितवननिर्वाचनक्षेत्र (Constituency) चितवन - २ उम्मेदवारहरु,बागमती जिल्ला (District) चितवननिर्वाचनक्षेत्र (Constituency) चितवन - २ उम्मेदवारहरु,10,2026-03-05T10:46:05.596831
2,chitwan,चितवन,Krishna Prasad Chapagai,कृष्ण प्रसाद चापागाई,DuckDuckGo,कृष्ण प्रसाद चापागाई :: Nepal Election 2082 | Baahrakhari Candidate ...,https://election.baahrakhari.com/candidate-detail/2226,वाग्मती जिल्ला (District) चितवननिर्वाचनक्षेत्र (Constituency): चितवन - २ चितवन - २ का अन्य उमेदवारहरु,वाग्मती जिल्ला (District) चितवननिर्वाचनक्षेत्र (Constituency): चितवन - २ चितवन - २ का अन्य उमेदवारहरु,9,2026-03-05T10:46:05.596849
2,chitwan,चितवन,Krishna Prasad Chapagai,कृष्ण प्रसाद चापागाई,DuckDuckGo,"कृष्ण प्रसाद चापागाई, चितवन - २ | स्वतन्त्र | प्रतिनिधि सभा निर्वाचन २०८२",https://election.ratopati.com/candidate/krishna-prasad-chapagain,प्रतिनिधि सभानिर्वाचन२०८२ अन्तर्गत चितवन - २ मा स्वतन्त्रका ...,प्रतिनिधि सभानिर्वाचन२०८२ अन्तर्गत चितवन - २ मा स्वतन्त्रका ...,4,2026-03-05T10:46:05.596851
2,chitwan,चितवन,Krishna Prasad Chapagai,कृष्ण प्रसाद चापागाई,DuckDuckGo,कृष्ण प्रसाद चापागाई,https://election.onlinekhabar.com/central-candidate/krishna-prasada-chapagai,कृष्ण प्रसाद चापागाईको उम्मेदवारि कस्तो लागयो ? 0% खुसी 0% दुःखी 0% अचम्मित 0% उत्साहित 0% आक्रोशित,कृष्ण प्रसाद चापागाईको उम्मेदवारि कस्तो लागयो ? 0% खुसी 0% दुःखी 0% अचम्मित 0% उत्साहित 0% आक्रोशित,4,2026-03-05T10:46:05.596852
2,chitwan,चितवन,Krishna Prasad Chapagai,कृष्ण प्रसाद चापागाई,DuckDuckGo,Krishna Prasad Chapagai - Facebook,https://www.facebook.com/krishna.chapagain.5836/,"पुनर्योग (Retotaling) गर्नेबारेको अत्यन्त जरुरी सूचना !!!Krishna Prasad Chapagaiis in Kathmandu,Nepal. शिक्षक आन्दोलनको सम्पूर्ण औचित्य के??","पुनर्योग (Retotaling) गर्नेबारेको अत्यन्त जरुरी सूचना !!!Krishna Prasad Chapagaiis in Kathmandu,Nepal. शिक्षक आन्दोलनको सम्पूर्ण औचित्य के??",3,2026-03-05T10:46:05.596854
2,chitwan,चितवन,Krishna Prasad Chapagai,कृष्ण प्रसाद चापागाई,DuckDuckGo,Krishna Prasad Chapagai - Facebook,https://www.facebook.com/krishanprasad.chapagai/,Krishna Prasad Chapagaiis on Facebook. Join Facebook to connect withKrishna Prasad Chapagaiand others you may know. Facebook gives people the power to share and makes the world more open and...,Krishna Prasad Chapagaiis on Facebook. Join Facebook to connect withKrishna Prasad Chapagaiand others you may know. Facebook gives people the power to share and makes the world more open and...,3,2026-03-05T10:46:05.596856
2,chitwan,चितवन,Krishna Prasad Chapagai,कृष्ण प्रसाद चापागाई,DuckDuckGo,Krishna Prasad Chapagai - YouTube,https://www.youtube.com/channel/UCslNyEWqB4xcaaNsoMO7nQQ,"Welcome to you Gamer Bj And Funny Blogger Are you ready for a whirlwind of laughter, gaming excitement, and engaging content ? You've come to the right place On Gamer Bj And Funny Blogger we blend ...","Welcome to you Gamer Bj And Funny Blogger Are you ready for a whirlwind of laughter, gaming excitement, and engaging content ? You've come to the right place On Gamer Bj And Funny Blogger we blend ...",3,2026-03-05T10:46:05.596857
2,chitwan,चितवन,Krishna Prasad Chapagai,कृष्ण प्रसाद चापागाई,OnlineKhabar,Career in music: The BTS of singing,https://english.onlinekhabar.com/career-in-music-the-bts-of-singing.html,,"Career in music: The BTS of singing Aarzoo Saturday, June 21, 2025 0 Comments Photo: Pexels “You’re very lucky, your parents allowed you to do a Bachelor’s in Music,” told my trainer on my first day of office. I knew that getting to study music academically was a privilege, but to me that came as a consequence of my parents’ inhibition of my interest in music. Even today, considering music as a career raises eyebrows until someone goes out of the grain and succeeds. However, music is mostly considered synonymous with singing, and this absolute narrative daunts people from seriously diving in as success for a vocalist is a result of volatile competition, trends, and sometimes talent. While Lata Mangeshkar , the legendary Indian singer was initially called out for singing in the movies, it’s no surprise that our society has much to unlearn and relearn about the glory of music. It’s the same society that classified the folk musical heroes, the Gandharvas , as low castes, while even the so-called high castes sang hymns and tales from the epics in the form of music. Gandharvas in Nepal are musical figures who not only kept the folk tunes alive but their music told the stories of the society, monarch, nature, awareness, news, information, and much more. Thus, the hypocrisy in art seems to have had a rebellion as none could remain untouched by the taste of music, as of today. Music is more than just singing, it’s a mosaic of emotions and practically a blend of multiple elements. If it were just singing, why would we get nostalgic over “Eine Kleine Nachtmusik,” by Mozart or even “Mangal Dhun,” for that matter? Generally defined as a combination of vocal, rhythm, and dance, Music has multiple shades to offer. Understanding its process to produce a product is significant for how skilled, calculative, and musically engineered minds are behind all the celebrated tunes. Songwriting/ songwriter (Lyrics+Music) A songwriter is someone who writes the lyrics and also gives tunes to those lyrics. In the West, most singers are songwriters as well, however some prominent artists like Ed Sheeran have written only lyrics for One Direction, Jessie Ware, Justin Bieber, and others. Currently in Nepal, many singers like Gopal Yonjan, Bhaktaraj Acharya, Melwa Devi, Shanti Thatal, Kali Prasad Banskota, Rajan Raj Shiwakoti, Samriddhi Rai, Swoopna Suman, Trishna Gurung, Bartika Eam Rai, Sushant Ghimire, Sushant KC, Sajjan Raj Baidya, Neetesh Jung Kunwar, Bipul Chhetri, Ujjwal Saagar, and so on are also songwriters. Lyricist/ lyrics writing Lyricist is a person who pens a song either to blend with a pre-created tune, a story, or purely out of their emotions. They are basically the poets of music. In Nepal, there have been great people who are pure lyricists like Ratna Samsher Thapa, Chadani Shah, Rajendra Thapa, Hari Bhakta Katuwal, Dinesh Adhikari, and so on. In the present, Krishna Hari Baral, Ananda Adhikari, Harka Saud, and Sushma Sigdel are among the popular lyricists in t",0,2026-03-05T10:46:05.596859
2,chitwan,चितवन,Krishna Prasad Chapagai,कृष्ण प्रसाद चापागाई,OnlineKhabar,Lalita Niwas land case: CIB and government attorneys at odds as the case becomes a clash of who has more power,https://english.onlinekhabar.com/lalita-niwas-land-case-cib-attorneys.html,,"Lalita Niwas land case: CIB and government attorneys at odds as the case becomes a clash of who has more power Gaurav Pokharel Tuesday, August 29, 2023 0 Comments Min Bahadur Gurung being escorted to the court by Nepal Police after being arrested for his role in the Lalita Niwas land case. The investigation into the Lalita Niwas land case , which started with the arrest of Bhatbhatini Superstore owner Min Bahadur Gurung on June 27, carried on for 62 days. During that time, the Central Investigation Bureau arrested many other individuals booking them for organised crime and document forgery. The District Government Attorney’s Office (DGAO) in Kathmandu, however, on August 27, said it was only booking 290 people for document forgery and not organised crime leaving the CIB disappointed and surprised. This decision by the District Government Attorney’s Office meant the CIB was wrong to have held these people in custody for so long. According to Nepal’s law, those being booked for document forgery could only be kept in custody for 24 days with a case being registered in the court on the 25th day. However, in the Lalita Niwas land case, the deadline for investigation has been consistently extended citing the need for time to probe into organised crime alongside document forgery. The defense made CIB official submitting the Lalita Niwas land case report to the District Government Attorney’s Office. Photo: Aryan Dhimal In the investigation report submitted by the police, it was observed various people forged government documents in 1986, 1993, 2011, and 2013. However, since the Prevention of Organised Crime Act was only enacted in 2014, the DGAO said that under the principle of retroactive law , prosecution cannot take place. “The incident preceding the law cannot be prosecuted by the latter. As per the law, we cannot book them for organised crime,” says Chief of the District Government Attorney’s Office Mahesh Prasad Khatri. Given the new development, criminal law expert and senior advocate Satish Krishna Kharel points out that the decision to keep the individuals under custody for a month longer than legally viable. “There is a potential case to be registered against the police for this unlawful detention. The question now is why did the District Government Attorney’s Office initially consent to extend the remand and how did the court sanction the detention,” Kharel questions. Former Attorney General Agni Kharel hints the police might have said it was organised crime as it felt it needed more time for investigation. Given there is a clear understanding of retroactive law, Kharel says the District Government Attorney’s Office must have been aware and mindful. The failure to do so has put forward the doubts, he adds. Meanwhile, officials from the CIB of the Nepal Police, report that the investigation was indeed being carried out under the collaboration of the District Government Attorney’s Office. It says the office knew what CIB was doing. “We cannot pr",0,2026-03-05T10:46:05.596860
2,chitwan,चितवन,Krishna Prasad Chapagai,कृष्ण प्रसाद चापागाई,OnlineKhabar,Justice is a dream deferred for survivors of rape and sexual violence in Nepal,https://english.onlinekhabar.com/justice-rape-sexual-violence-in-nepal.html,,"Justice is a dream deferred for survivors of rape and sexual violence in Nepal Sagar Chand Wednesday, February 1, 2023 0 Comments Representational Image. Photo: Pexels When a woman went to the police station asking the police to take action against Krishna Bahadur Giri, also known as Siddhababa, for rape, the police did not file her report. Instead, they ridiculed her and asked her to stop spreading lies about the famed religious leader and asked her to leave. Following this, the woman went to the Central Investigation Bureau ( CIB ) of Nepal Police on November 24, 2019, to report the case, which has been one of the most recent well-known examples of sexual violence in Nepal. Before she went to the CIB, Nepal Police official reached her door steps. She had hoped they were there to report the case, but instead, they tried to book her in a drug case. The aim of the police was to give her mental torture so she should not report the case and had reached her apartment acting as a businessperson. “Someone came to my apartment asking me to buy some soap, shampoo and powder. Following that, a team of police came in telling us we were buying and selling drugs,” says the woman. This is a prime example of how survivors of sexual violence in Nepal are treated when they go to the police. There are many such examples when they are harassed by the police, which is considered the starting point of the justice process. Throughout the process, they continue even bigger challenges on the way to justice. The long road to justice Rape-accused religious leader Krishna Giri aka Siddhababa is flanked by ministers Gyanendra Bahadur Karki and Sher Bahadur Kunwar, in Kathmandu, on Monday, July 18, 2022. After registering a complaint against Siddhababa, the CIB ordered the Metropolitan Police Range, Kathmandu, to conduct a further investigation after examining the health of the survivor. Then, the case was sent to the Sunsari District Police Office. As this was happening, Siddhababa’s followers were pressuring the survivor to withdraw the complaint. Even the police wanted her to do so. Yet, after a few days, Sunari Police filed the complaint, but no action was taken. Even though there is a legal provision that does not allow reconciliation in rape cases, the police started putting pressure on the survivor and Siddhababa to reconcile. “When I went to see the incident report, Binod Sharma (then DSP) told me to forget what had happened and asked me to move on. He pressurised me to reconcile,” says the survivor. — On May 12, 2019, Binu Yadav went to the women’s cell of the Metropolitan Police Range in Kathmandu to report she had been raped by her boyfriend, Pradeep Kathayat. Police refused to file the case and instated asked the two to reconcile. That is what happened on June 2. After the reconciliation, Yadav had to marry the man who she tried to file a complaint against. Following that, she was held hostage at Kathayat’s house in Ramechhap’s Manthali where Kathayat’s uncle, P",0,2026-03-05T10:46:05.596862
