Constituency,DistrictEnglish,DistrictNepali,CandidateEnglish,CandidateNepali,Source,Title,URL,Snippet,Content,RelevanceScore,ScrapedAt
1,kathmandu,काठमाडौं,Ramila Jyakhwa (Suwal),रमिला ज्याख्व(सुवाल),DDG (ne2),रमिला ज्याख्व(सुवाल) :: Nepal Election 2082 | Thaha Khabar Candidate ...,https://election.thahakhabar.com/candidate-detail/1337,जिल्ला (District)काठमाडौंनिर्वाचनक्षेत्र (Constituency)काठमाडौं- १काठमाडौं- १ का अन्य उम्मेदवारहरु,जिल्ला (District)काठमाडौंनिर्वाचनक्षेत्र (Constituency)काठमाडौं- १काठमाडौं- १ का अन्य उम्मेदवारहरु,24.0,2026-03-05T15:19:14.788912
1,kathmandu,काठमाडौं,Ramila Jyakhwa (Suwal),रमिला ज्याख्व(सुवाल),DDG (en1),Ramila Jyakhwa (Suwal) - Nepal Majdoor Kishan Party Candidate for ...,https://youthsforum.com/election/nepal-majdoor-kishan-party/ramila-jyakhwa-suwal/,"RamilaJyakhwa(Suwal): Biography, Education, and Political JourneyRamilaJyakhwa(Suwal)is a parliamentarycandidaterepresentingNepalMajdoor Kishan Party in theNepalParliamentElection2082. She is contesting fromKathmanduConstituency-1 in Bagmati Province, bringing her vision and experience to serve the people of this region.","RamilaJyakhwa(Suwal): Biography, Education, and Political JourneyRamilaJyakhwa(Suwal)is a parliamentarycandidaterepresentingNepalMajdoor Kishan Party in theNepalParliamentElection2082. She is contesting fromKathmanduConstituency-1 in Bagmati Province, bringing her vision and experience to serve the people of this region.",24.0,2026-03-05T15:19:14.788926
1,kathmandu,काठमाडौं,Ramila Jyakhwa (Suwal),रमिला ज्याख्व(सुवाल),DDG (ne2),रमिला ज्याख्व(सुवाल) :: Nepal Election 2082 | Baahrakhari Candidate ...,https://election.baahrakhari.com/candidate-detail/1337,नेपाल मजदुर किसान पार्टीकाठमाडौं- १ का अन्य उमेदवारहरु मोहन राज रेग्मी,नेपाल मजदुर किसान पार्टीकाठमाडौं- १ का अन्य उमेदवारहरु मोहन राज रेग्मी,16.0,2026-03-05T15:19:14.788928
1,kathmandu,काठमाडौं,Ramila Jyakhwa (Suwal),रमिला ज्याख्व(सुवाल),DDG (ne2),"रमिला ज्याख्व(सुवाल), काठमाडौं - १, नेपाल मजदुर किसान पार्टी, Nepal ...",https://election.onlinekhabar.com/central-candidate/ramila-jyakhwa-suwal,रमिलाज्याख्व (सुवाल)को प्रोफाइल पढेर तपाईंलाई कस्तो लाग्यो ? 0% खुसी 0% दुःखी 0% अचम्मित 0% उत्साहित 0% आक्रोशित,रमिलाज्याख्व (सुवाल)को प्रोफाइल पढेर तपाईंलाई कस्तो लाग्यो ? 0% खुसी 0% दुःखी 0% अचम्मित 0% उत्साहित 0% आक्रोशित,10.0,2026-03-05T15:19:14.788929
1,kathmandu,काठमाडौं,Ramila Jyakhwa (Suwal),रमिला ज्याख्व(सुवाल),DDG (en1),उम्मेदवारहरु / प्रतिनिधि सभा निर्वाचन २०८२,https://election.ratopati.com/candidates,"RatopatiNepalElection2082 Portal - View House of Representativeselectioncandidates, political parties, constituencies, voter statistics, and latestelectionresults acrossNepal.","RatopatiNepalElection2082 Portal - View House of Representativeselectioncandidates, political parties, constituencies, voter statistics, and latestelectionresults acrossNepal.",7.2,2026-03-05T15:19:14.788931
1,kathmandu,काठमाडौं,Ramila Jyakhwa (Suwal),रमिला ज्याख्व(सुवाल),Nepali Times,Nepalis Select Who To Elect,https://www.nepalitimes.com/news/nepalis-select-who-to-elect,,"Nepalis Select Who To Elect It is a partial poll when a quarter of the eligible electorate cannot vote? 27 February 2026 Sonia Awale 0 Photo: NT ARCHIVES Of the nearly 19 million eligible voters in next week’s election in Nepal, an estimated 5 million are abroad and cannot cast their ballots. Many others within Nepal must travel to their home districts, and might decide not to because of the cost. Flights into Kathmandu these days are full of global Nepalis returning just to vote, but almost as many are leaving for overseas jobs. Most of those coming or going are in the 20-40 age group, and a majority want Nepal to see a change in leadership. Bangladesh held an election this month in which citizens overseas could vote by mail. “Bangladesh made maximum use of technology not just for campaigning but also for polling itself. We could have also managed this, so people within Nepal did not have to travel to their home districts to vote,” says Mohna Ansari, former head of Nepal’s National Human Rights Commission who was an election observer in Bangladesh. A 3-day holiday has been declared so people can travel to their home constituencies to cast ballots. Even if there was not enough time to manage ballots for overseas Nepalis, it could have been done for Nepalis within Nepal. Former Chief Election Commissioner Bhojraj Pokharel reckons that physical voting in countries with a large Nepali diaspora would have been a logistical nightmare, but in the PR system, using electronic voting machines or paper ballot could have been piloted in some places. It is not possible to manage the entire voting process until we introduce the internet voting system. “First of all, there needs to be political will to bring the policy and be ready to undertake that level of investment and it is not a one-time cost,” Pokharel says. “A government formed by the GenZ could have atr least issed an ordinance ensuring this right, piloted out-of-country voting where possible, which could have built pressure for the future Parliament and the government. It would have given people hope. It is a lost opportunity.” All major political parties called for voting rights for global Nepalis in their manifestos, but these very leaders blocked legislation allowing it despite a 2017 Supreme Court ruling out of fear that it would be anti-incumbent. Why so late? Bangladesh delivered election results in just one day, but the final results of Nepal's last local polls in 2022 including that of Kathmandu constituencies took nearly a month. Acting Chief Election Commissioner Ram Prasad Bhandari said this week that the results of the First-Past-The-Post (FPTP) ballot counting would “likely” be published within 24 hours of the poll closing at 5PM on 5 March. But many are skeptical. “I wonder if we lack the capacity or know-how to announce results as quickly as possible,” says Mohna Ansari. Former Chief Election Commissioner Pokharel says manual ballot paper counting in Nepal is inherently slow because of the large numner of political parties and/or candidates on the ballot, the counting mechanism, the political behaviour of the candidates/parties and some managerial issues during counting. “Our present policy is to count all the ballot papers at the returning officers' officies, located at the district headquarters. It requires collecting ballot boxes safetly first. This takes time, and there have been cases of ballot boxes being damaged or stolen during transport. In a few highly difficult, geographically remote polling centres, we use a helicopter or transport. But sometimes, accommodating the party and candidates' representatives remains challenging,” explains Pokharel. A solution could be counting ballots at the very booths where they are cast. Another reason for the delay is simply the number of political parties, and the need for each ballot paper to be examined by booth representatives for consensus. In close races, the smallest difference can lead to tense situations, further delaying results, even though counting centres are protected by metal fencing so there is no disruption. After this, then it is the turn of Proportional Representation (PR) ballots to be counted. Weeks pass by the time the results of candidates and parties are tallied and verified. But the most common delay is because election officers think ballot counting is a nine-to-five job. “The efficiency of poll station officers is most important, and they are incentivised for this,” says Ansari, adding that counting can even start within an hour after voting closes. In remote areas, local resources could be mobilised to make counting quicker, but there is a crisis of trust, adds Ansari. That could be easily solved with electronic voting which the EC implemented in the 2008 polls but discontinued because political parties felt the machines could be hacked or manipulated. Sonia Awale writer Sonia Awale is the Editor of Nepali Times where she also serves as the health, science and environment cor",7.2,2026-03-05T15:19:14.788932
1,kathmandu,काठमाडौं,Ramila Jyakhwa (Suwal),रमिला ज्याख्व(सुवाल),DDG (ne2),Kathmandu Constituency 1 - House of Representatives Election 2082 ...,https://election.nepsebajar.com/pratinidhi/1/kathmandu-1-election-result-live-election-2082,"Live election results for Kathmandu Constituency No.1in the Nepal Federal Parliament (House of Representatives) Election 2082. View vote counts, candidate details, and constituency analysis. The voter age breakdown includes: 2,365 (18-25), 11,090 (26-40), 17,623 (41-60), and 15,285 (61+).","Live election results for Kathmandu Constituency No.1in the Nepal Federal Parliament (House of Representatives) Election 2082. View vote counts, candidate details, and constituency analysis. The voter age breakdown includes: 2,365 (18-25), 11,090 (26-40), 17,623 (41-60), and 15,285 (61+).",6.6,2026-03-05T15:19:14.788934
1,kathmandu,काठमाडौं,Ramila Jyakhwa (Suwal),रमिला ज्याख्व(सुवाल),Ratopati,कांग्रेस नेता डा.कोइरालाद्वारा मतदान,https://www.ratopati.com/story/548169/congress-leader-dr-koirala-casts-his-vote,,"कांग्रेस नेता डा.कोइरालाद्वारा मतदान रासस बिहीबार, २१ फागुन २०८२, १२ : ११ फाइल तस्बिर रासस बिहीबार, २१ फागुन २०८२ मोरङ ।  नेपाली कांग्रेसका डा.शेखर कोइरालाले विराटनगर महानगरपालिका–७ स्थित आदर्श माविमा रहेको मतदान केन्द्रबाट मतदान गरेका छन् । मोरङ क्षेत्र नं ६ का उम्मेदवारसमेत रहनुभएका डा शेखर कोइरालाले मतदानपछि पत्रकारसँग संक्षिप्त कुराकानी गर्दै सबैको आपसी सहकार्य र समन्वयबाट मुलुक निर्माणमा लाग्नुपर्ने धारणा राखे । डा.शेखर कोइराला खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रासस राष्ट्रिय समाचार समिति नेपालकाे  सरकारी समाचार संस्था हाे । लेखकबाट थप भर्खरै नवपुस्ताका मतदाता भन्छन् : ‘हाम्रो भविष्यसँग फेरि खेलबाड नहोस्’ कहाँ छन् इरानका ‘मित्र’ ? रुस र चीनले सैन्य सहयोग किन गर्दैनन्? ६७ वर्षदेखि मतदान : १०२ वर्षीय पौडेलले १० औँ पटक गरे संसदीय निर्वाचनमा मतदान बैतडीमा ३ बजेसम्म ५६ हजारले गरे मतदान ललितपुरमा ३ बजेसम्म ४६ प्रतिशत मत खस्याे परिवर्तनको आशा बोकेर मतदान ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. गन्तव्यमा नपुगी किन फर्कियो बालेन सवार हेलिकप्टर ? ३. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ४. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ५. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ६. कर्मचारीमाथि हातपात गर्न खोजेपछि दोलखामा हवाई फायर ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. राष्ट्रिय सुरक्षा परिषद्को बैठकले के गर्‍याे निर्णय ? छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",5.7,2026-03-05T15:19:14.788935
1,kathmandu,काठमाडौं,Ramila Jyakhwa (Suwal),रमिला ज्याख्व(सुवाल),Ratopati,मोरङमा दिउँसो २ बजेसम्म ३२ प्रतिशत मत खस्यो,https://www.ratopati.com/story/548241/32-percent-voter-turnout-in-morang-by-2-pm,,"मोरङमा दिउँसो २ बजेसम्म ३२ प्रतिशत मत खस्यो रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२, १४ : ५४ रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२ मोरङ । प्रतिनिधि सभा निर्वाचनअन्तर्गत मोरङमा दिउँसो २ बजेसम्म कुल ३२ प्रतिशत मत खसेको छ । जिल्ला प्रशासन कार्यालय मोरङले सार्वजनिक गरेको २ बजेसम्मको विवरण अनुसार, यस अवधिसम्म २ लाख ९२ हजार ४ सय २५ मत खसेको हो । जिल्लाभरिका ८८८ वटा मतदान केन्द्रहरूमा ७ लाख ८३ हजार ४० कुल मतदाता रहेका छन् । मोरङ मतदान खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रातोपाटी संवाददाता ‘सबैको, सबैभन्दा राम्रो’ रातोपाटी डटकम। लेखकबाट थप भर्खरै नवपुस्ताका मतदाता भन्छन् : ‘हाम्रो भविष्यसँग फेरि खेलबाड नहोस्’ कहाँ छन् इरानका ‘मित्र’ ? रुस र चीनले सैन्य सहयोग किन गर्दैनन्? ६७ वर्षदेखि मतदान : १०२ वर्षीय पौडेलले १० औँ पटक गरे संसदीय निर्वाचनमा मतदान बैतडीमा ३ बजेसम्म ५६ हजारले गरे मतदान ललितपुरमा ३ बजेसम्म ४६ प्रतिशत मत खस्याे परिवर्तनको आशा बोकेर मतदान ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. गन्तव्यमा नपुगी किन फर्कियो बालेन सवार हेलिकप्टर ? ३. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ४. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ५. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ६. कर्मचारीमाथि हातपात गर्न खोजेपछि दोलखामा हवाई फायर ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. राष्ट्रिय सुरक्षा परिषद्को बैठकले के गर्‍याे निर्णय ? छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",5.1,2026-03-05T15:19:14.788936
1,kathmandu,काठमाडौं,Ramila Jyakhwa (Suwal),रमिला ज्याख्व(सुवाल),Ratopati,"उदयपुरमा मोटरसाइकल रुखमा ठोक्किँदा एकको मृत्यु, दुई जना गम्भीर घाइते",https://www.ratopati.com/story/548190/one-dead-two-seriously-injured-after-motorcycle-crashes-into-tree-in-udayapur,,"उदयपुरमा मोटरसाइकल रुखमा ठोक्किँदा एकको मृत्यु, दुई जना गम्भीर घाइते रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२, १२ : ५१ रातोपाटी संवाददाता बिहीबार, २१ फागुन २०८२ सारांश उदयपुरको चौदण्डीगढीमा मोटरसाइकल दुर्घटना हुँदा एक जनाको मृत्यु भएको छ। दुर्घटनामा दुई जना गम्भीर घाइते भएका छन् र उनीहरूको विराटनगरमा उपचार भइरहेको छ। प्रहरीले घटनाको अनुसन्धान गरिरहेको छ, तीव्र गति र तीन जना सवार हुनु दुर्घटनाको कारण हुनसक्ने अनुमान छ। उदयपुर । उदयपुरको चौदण्डीगढी नगरपालिकामा आज बिहान मोटरसाइकल दुर्घटना हुँदा एक जनाको मृत्यु भएको छ भने दुई जना गम्भीर घाइते भएका छन् । मदन भण्डारी लोकमार्ग अन्तर्गत चौदण्डीगढी नगरपालिका वडा नं। १० भिमा खण्डमा गाईघाटबाट बेल्टारतर्फ जाँदै गरेको प्र.०१-०५-००२ प १८२७ नम्बरको मोटरसाइकल अनियन्त्रित भई दुर्घटना भएको हो । तीव्र गतिमा रहेको मोटरसाइकल सडकको उत्तरतर्फ रहेको सखुवाको रुखमा ठोक्किँदा मोटरसाइकल चालक चौदण्डीगढी नगरपालिका–५ सिवाई बस्ने १८ वर्षीय समिर चौधरीको मृत्यु भएको प्रहरीले जनाएको छ । दुर्घटनामा गम्भीर घाइते भएका चौधरीलाई तत्काल उद्धार गरी नगर अस्पताल बेल्टार लगिएकोमा अस्पताल पुर्‍याउनासाथ चिकित्सकले मृत घोषणा गरेका थिए । सोही दुर्घटनामा परी मोटरसाइकलमा सवार अन्य दुई जना गम्भीर घाइते भएका छन् । घाइते हुनेहरूमा चौदण्डीगढी–५ सिवाई बस्ने १८ वर्षीय मौसम चौधरी र सोही ठाउँका २३ वर्षीय अशोक चौधरी रहेका छन् । घाइते दुवै जनालाई नगर अस्पतालमा सामान्य उपचारपछि थप उपचारका लागि विराटनगरस्थित सुविधा सम्पन्न अस्पतालमा रेफर गरिएको छ । बिहान करिब ११:०० बजे भएको उक्त दुर्घटनाको विषयमा इलाका प्रहरी कार्यालय बेल्टारबाट खटिएको प्रहरी टोलीले थप अनुसन्धान गरिरहेको जनाएको छ । एउटै मोटरसाइकलमा तीन जना सवार रहेकाले अनियन्त्रित भई दुर्घटना भएको हुनसक्ने प्रारम्भिक अनुमान गरिएको छ । घाइते मोटरसाइकल दुर्घटना उदयपुर दुर्घटना खबर पढेर तपाईलाई कस्तो महसुस भयो ? प्रतिक्रिया लेखकको बारेमा रातोपाटी संवाददाता ‘सबैको, सबैभन्दा राम्रो’ रातोपाटी डटकम। लेखकबाट थप भर्खरै नवपुस्ताका मतदाता भन्छन् : ‘हाम्रो भविष्यसँग फेरि खेलबाड नहोस्’ कहाँ छन् इरानका ‘मित्र’ ? रुस र चीनले सैन्य सहयोग किन गर्दैनन्? ६७ वर्षदेखि मतदान : १०२ वर्षीय पौडेलले १० औँ पटक गरे संसदीय निर्वाचनमा मतदान बैतडीमा ३ बजेसम्म ५६ हजारले गरे मतदान ललितपुरमा ३ बजेसम्म ४६ प्रतिशत मत खस्याे परिवर्तनको आशा बोकेर मतदान ट्रेन्डिङ १. मतदान केन्द्रमा खटिएका कर्मचारी नै पक्राउ परेपछि... २. गन्तव्यमा नपुगी किन फर्कियो बालेन सवार हेलिकप्टर ? ३. बालेन चढेको हेलिकप्टर झापामा ल्यान्ड गरेन, काठमाडौँ फर्कँदै ४. श्रीलंका नजिकै इरानी युद्धपोतमा अमेरिकी आक्रमण, ८० नौसैनिकको मृत्यु ५. बुटवलमा पैसा बाँडेको आरोपमा एमाले र रास्वपाका कार्यकर्ताबिच झडप ६. कर्मचारीमाथि हातपात गर्न खोजेपछि दोलखामा हवाई फायर ७. चुनावमा खटिएका १२ जना सुरक्षाकर्मी र दुई मतदान अधिकृतको मृत्यु ८. राष्ट्रिय सुरक्षा परिषद्को बैठकले के गर्‍याे निर्णय ? छुटाउनुभयो कि ? निर्वाचन बहिष्कार गर्दै आन्दोलनको घोषणा प्रतिनिधि सभा उम्मेदवारले नै पार्टी छाडेपछि... प्रतिनिधि सभा उम्मेदवार पौडेलले फिर्ता लिए उम्मेदवारी रास्वपा र एमालेका कार्यकर्ताबिच झडप, २ जना घाइते धादिङमा बस दुर्घटना: १७ जनाको मृत्यु, २४ घाइते गौर झडप : ३ गाडी र दुई मोटरसाइकलमा आगजनी धादिङ बस दुर्घटनाः मृत्यु भएका १९ मध्ये ९ जनाको सनाखत (नामावलीसहित) बालेनलाई कारबाहीसहित नागरिकता रद्दको माग गर्दै गृह मन्त्रालयमा उजुरी",5.1,2026-03-05T15:19:14.788938
