Candidate,EnglishName,Constituency,Author,Text
कविर राणा,Kabir Rana,bhaktapur_2,ArthaDabali,"प्रतिनिधिसभा निर्वाचन २०८२, भक्तपुर  क्षेत्र नं.–२ (महेश बस्नेत र राजिव खत्रीको दबाबमा कविर राणा! कस्ले मार्ला बाजी ?) #arthadabali #election2082 #Bhaktapur2"
कविर राणा,Kabir Rana,bhaktapur_2,ArthaDabali,"चुनाव आउन मात्र १० दिन बाँकी प्रतिनिधिसभा निर्वाचन २०८२, भक्तपुर क्षेत्र नं.–२ (महेश बस्नेत र राजिव खत्रीको दबाबमा कविर राणा! कस्ले मार्ला बाजी ?) #arthadabali #election2082 #Bhaktapur2"
कविर राणा,Kabir Rana,bhaktapur_2,Mahesh Basnet,"भक्तपुर–२ : तीन उम्मेदवारका समान एजेण्डा   एमालेका महेश बस्नेत, कांग्रेसका कविर राणा र नेपाली कम्युनिष्ट पार्टी (नेकपा)का रामप्रसाद सापकोटा ‘दिपशिखा’ले शिक्षा, स्वास्थ्य, कृषि, पर्यटन र स्वच्छ खानेपानीमा सहज पहुँचलाई एजेण्डा बनाएका छन् ।"
कविर राणा,Kabir Rana,bhaktapur_2,Onlinekhabar,भक्तपुर–२ मा कांग्रेसका उम्मेदवार कविर राणा #onlinekhabar
कविर राणा,Kabir Rana,bhaktapur_2,Prabin,देशान्तरमै यो समाचार छैन त??  भक्तपुर–२ मा कांग्रेसका उम्मेदवार कविर राणा
कविर राणा,Kabir Rana,bhaktapur_2,Nepal News,मंगलबार बिहान बसेको संसदीय बोर्डले राणाको उम्मेदवारी पक्का गरेको प्रवक्ता देवराज चालिसेले बताए।    https:// nepalnews.com/2026/01/20/con gress-gives-ticket-to-kabir-rana-in-bhaktapur-2-contests-with-mahesh-basnet/ …  #nepalnews #nepalinews #NepaliNewsToday #NNPlus #नेपालन्युज
राजीव खत्री,Rajiv Khatri,bhaktapur_2,सुमन !!,राजीव खत्री – भक्तपुर २  वरिष्ठ सञ्चारकर्मी र भ्रष्टाचार विरुद्ध निर्भीक आवाज सुशासन र सार्वजनिक जवाफदेहिताका लागि निरन्तर खबरदारी।  https:// fundraiser.rspnepal.org/candidates/bha ktapur-2 … #VoteForChange #voteforghanti #RSPNepal
राजीव खत्री,Rajiv Khatri,bhaktapur_2,NepalPress,भक्तपुर २ : महेश बस्नेतविरुद्ध रास्वपाका राजीव खत्री भिड्ने  #NepalPress
राजीव खत्री,Rajiv Khatri,bhaktapur_2,Balen4PrimeMinister,भोगटे — भोगेटेले गुण्डुको ठाउँ मात्र ओगटे   भक्तपुर २ : महेश बस्नेतविरुद्ध रास्वपाका राजीव खत्री भिड्ने
राजीव खत्री,Rajiv Khatri,bhaktapur_2,Bindu Post,"भक्तपुर २ मा राजीव खत्रीको घरदैलो, जनताले मत परिर्वतन गर्न चाहेको दाबी"
राजीव खत्री,Rajiv Khatri,bhaktapur_2,कालापानी-लिपुलेक,भक्तपुर-२ हुने भयो चुनावी समाचार को केन्द्र !
राजीव खत्री,Rajiv Khatri,bhaktapur_2,NepalPress,भक्तपुर-२ : महेश बस्नेत र राजीव खत्रीसँग भिड्न नेकपाले अघि सार्‍यो दीपशिखा #NepalPress
राजीव खत्री,Rajiv Khatri,bhaktapur_2,Grok,"Setopati's analysis projects RSP's Rajiv Khatri far ahead in Bhaktapur-2, part of their 8th election series, published after Supreme Court order against EC/Press Council interference (with editorial note added).  Other recent ground reports (Ratopati, Khabarhub, YouTube surveys)"
बिक्रम थापा,Bikram Thapa,bhaktapur_2,Ujjwal Bikram Thapa,आज गाली खान मन लाग्यो। निर्वाचन मा प्रधानमन्त्री को दौडमा भएका मध्ये मा मैले गगन थापा लाई रोजेको छु।गल्ती नगर्ने कोहि हुँदैन गल्ती गरेर आत्मसात गर्दै पुनः गल्ती नदोहोर्याउने बचन सहित अघि बढन हिम्मत चाहिन्छ।
बिक्रम थापा,Bikram Thapa,bhaktapur_2,Ujjwal Bikram Thapa,निर्वाचन मा नयाँ र पुरानो को मात्र चर्चा हुनु दुर्भाग्यपूर्ण।निर्वाचन भोज होइन लुगा नयाँ लाउने कि पुरानो जस्तो सोच्न।लुगा होस वा जनप्रतिनिधि नयाँ र पुरानो को चर्चा गर्नु बेकार हो सफा हुनुपर्यो।
बिक्रम थापा,Bikram Thapa,bhaktapur_2,Ujjwal Bikram Thapa,चुनावी सरकार को मन्त्रीमण्डल मा सहभागी हुँदा त्यो सरकार को कर्तव्य प्रष्ट थियो निर्वाचन गराउने।निर्वाचन लड्ने इच्छा भएका ले यो सरकार मा सहभागी हुनुहुदैन थियो। यी चार जना को कार्य अशोभनीय र गलत हो। यो चोर बाटो हिड्ने हरु को पराजय सदा लागी एउटा उदाहरण बन्ने पर्छ।
बिक्रम थापा,Bikram Thapa,bhaktapur_2,Suraj RanBir Bikram Thapa,रास्वपा  @party_swatantra  ले घण्टी बोकेर चुनाव प्रचार गर्दै आएको थियो. हालै निर्वाचन आयोगले चुनाव चिन्हको भौतिक स्वरुप प्रयोग गर्न नपाईने नियम लागु गरेको.  यस्तो नियम जरुरी थियो.  #धन्यवाद  निर्वाचन आयोग #निर्वाचनआयोग  #ElectionCommissionNepal   @ECNOfficial
बिक्रम थापा,Bikram Thapa,bhaktapur_2,Ujjwal Bikram Thapa,सबै दल सबै पुस्ता का नेता मत माग्न र जित प्राप्त गर्न मन्दिर मा पुगेको देख्छु।शान्त निर्वाचन होस् भन्दै सम्माननीय प्रधानमन्त्री मन्दिर मा पुगेको देखे।यो सबै हेर्दा राजा ले जानेका रहेछन्। हरेक भासण पछि पशुपतिनाथ ले सबैको रक्षा र कल्याण गरुन् भन्थे सत्य बोलेका रहेछन्।
बिक्रम थापा,Bikram Thapa,bhaktapur_2,Ujjwal Bikram Thapa,मत माग्ने र मत दिने भन्दा धेरै क्यामेरा म्यान को भिड। नेपाली निर्वाचन।
बिक्रम थापा,Bikram Thapa,bhaktapur_2,Suraj RanBir Bikram Thapa,राजा वीरेन्द्रको शालिकमाथि केही रास्वपा कार्यकर्ताले उभिएर गरेको व्यवहारप्रति  #WakeUp  #ब्युँझनुहोस #उठ्नुहोस अनि   @party_swatantra  कारबाही गर्नुहोस.  निर्वाचन आयोग  @pmsushilakarki    @oaryal    @ECNOfficial    @NepalPoliceHQ   #निर्वाचनआयोग  #ElectionCommissionNepal लाई #चेतनाभया
बिक्रम थापा,Bikram Thapa,bhaktapur_2,Suraj RanBir Bikram Thapa,आस्थामाथिको खेलवाड निर्वाचन आयोग  @pmsushilakarki    @oaryal    @ECNOfficial    @NepalPoliceHQ   #WakeUp  #ब्युँझनुहोस #उठ्नुहोस अनि   @party_swatantra   लाई कारबाही गर्नुहोस.  #निर्वाचनआयोग  #ElectionCommissionNepal लाई #चेतनाभया
बिक्रम थापा,Bikram Thapa,bhaktapur_2,Suraj RanBir Bikram Thapa,#WakeUp  #ब्युँझनुहोस #उठ्नुहोस निर्वाचन आयोग  @pmsushilakarki    @ECNOfficial    @NepalPoliceHQ  अनि   @ShahBalen  र   @party_swatantra   लाई कारबाही गर्नुहोस देश एसको बिरता होइन #निर्वाचनआयोग  #ElectionCommissionNepal लाई #चेतनाभया    http:// x.com/online_khabar/…
महेश बस्नेत,Mahesh Basnet,bhaktapur_2,Sewantika,"विराटनगरमा महेश बस्नेत माथी आक्रमण प्रयास गरेछन । हिंडडुल नै गर्न नपाउने त होइन होला?  विमती जनाउनलाई निर्वाचन आउँदैछ , निर्वाचनमा हराएर देखाउनु नि । यति सार्‍हो निषेध पनि राम्रो हैन है । कता पुग्यो देश बरि लै"
