CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName
अस्‍मिन घिमिरे,Ashmin Ghimire,चितवन,chitwan,2
इन्द्र बहादुर स्याङतान,Indra Bahadur Syangtan,चितवन,chitwan,2
ऋषा गोले,Risha Gole,चितवन,chitwan,2
कमान सिंह चौधरी,Kaman Singh Chaudhary,चितवन,chitwan,2
कृष्ण प्रसाद चापागाई,Krishna Prasad Chapagai,चितवन,chitwan,2
जगदिश्वर अधिकारी,Jagadishwar Adhikari,चितवन,chitwan,2
दिर्शना कुमारी शाही,Dirshana Kumari Shahi,चितवन,chitwan,2
देवी कुमारी मगर,Devi Kumari Magar,चितवन,chitwan,2
देवी शर्मा,Devi Sharma,चितवन,chitwan,2
नि.कुमार पाख्रीन,Ni. Kumar Pakhrin,चितवन,chitwan,2
निर्मला कुमारी ठाकुर,Nirmala Kumari Thakur,चितवन,chitwan,2
प्रकाश बहादुर पाण्‍डे,Prakash Bahadur Pandey,चितवन,chitwan,2
प्रताप गुरुङ्ग,Pratap Gurung,चितवन,chitwan,2
प्रताप सिंह तमाङ्ग,Pratap Singh Tamang,चितवन,chitwan,2
प्रविन सापकोटा,Pravin Sapkota,चितवन,chitwan,2
मिना कुमारी खरेल,Mina Kumari Kharel,चितवन,chitwan,2
मिलन थापा मगर,Milan Thapa Magar,चितवन,chitwan,2
रवि कुमाल,Rabi Kumal,चितवन,chitwan,2
रवि लामिछाने,Rabi Lamichhane,चितवन,chitwan,2
शंकु प्रसाद जैसी,Shanku Prasad Jaisi,चितवन,chitwan,2
शक्ति राज गुरुङ,Shakti Raj Gurung,चितवन,chitwan,2
शोभा बासुकला,Shobha Basukala,चितवन,chitwan,2
सुवास महतो,Subas Mahato,चितवन,chitwan,2
आकाश राना मगर,Akash Rana Magar,गोरखा,gorkha,1
कविता भट्टराई,Kavita Bhattarai,गोरखा,gorkha,1
केदार मणी खनाल,Kedar Mani Khanal,गोरखा,gorkha,1
जित बहादुर घले,Jit Bahadur Ghale,गोरखा,gorkha,1
देव बहादुर थापा,Dev Bahadur Thapa,गोरखा,gorkha,1
प्रेम कुमार खत्री,Prem Kumar Khatri,गोरखा,gorkha,1
मनु कुमारी श्रेष्‍ठ,Manu Kumari Shrestha,गोरखा,gorkha,1
राम चन्द्र लामिछाने,Ram Chandra Lamichhane,गोरखा,gorkha,1
रामकाजी राना मगर,Ramkaji Rana Magar,गोरखा,gorkha,1
विष्णु प्रसाद रिजाल,Vishnu Prasad Rijal,गोरखा,gorkha,1
सुधन गुरुङ,Sudhan Gurung,गोरखा,gorkha,1
हरि राज अधिकारी,Hari Raj Adhikari,गोरखा,gorkha,1
अमृत रसाइलि,Amrit Rsaili,झापा,jhapa,5
अमृतलाल महतो,Amritlal Mahato,झापा,jhapa,5
अर्जुन सापकोटा,Arjun Sapkota,झापा,jhapa,5
के.पी शर्मा ओली,K.P. Sharma Oli,झापा,jhapa,5
खेमनाथ शिवाकोटी,Khemnath Shivakoti,झापा,jhapa,5
डम्वर शाहु,Dambar Shahu,झापा,jhapa,5
धर्मराज गुरागाई,Dharmraj Guragai,झापा,jhapa,5
धिरेन सुब्बा,Dhiren Subba,झापा,jhapa,5
